dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0b1a1e1ff458	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-11	50	1					-21	-24	-18	1			1	0.004			0.004				100	1			1					0.004			0.004	2.155			2.326	322463	27481086	7.9	20.3
jhu/series	34f5fbdb5076	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-17	56	7					-15	-18	-12	5		1	4	0.018		0.004	0.015			20	80	4		1	3	400			300	0.015		0.004	0.011	8.621		18.519	6.977	322463	27481086	7.9	20.3
jhu/series	4b8f75db8e12	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-18	57	8					-14	-17	-11	6		1	5	0.022		0.004	0.018			16.667	83.333	1			1	20			25	0.004			0.004	2.155			2.326	322463	27481086	7.9	20.3
jhu/series	f30d1c65d178	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-19	58	9					-13	-16	-10	9		1	8	0.033		0.004	0.029			11.111	88.889	3			3	50			60	0.011			0.011	6.466			6.977	322463	27481086	7.9	20.3
jhu/series	b3b0bc0b4cb1	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-21	60	11	1				-11	-14	-8	14		1	13	0.051		0.004	0.047			7.143	92.857	5			5	55.556			62.5	0.018			0.018	10.776			11.628	322463	27481086	7.9	20.3
jhu/series	7978a2d1e19e	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-23	62	13	3				-9	-12	-6	25		1	24	0.091		0.004	0.087			4	96	11			11	78.571			84.615	0.04			0.04	23.707			25.581	322463	27481086	7.9	20.3
jhu/series	6194c39107ad	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-24	63	14	4				-8	-11	-5	73		2	71	0.266		0.007	0.258			2.74	97.26	48		1	47	192		100	195.833	0.175		0.004	0.171	103.448		18.519	109.302	322463	27481086	7.9	20.3
jhu/series	dc8b3dd1ef0d	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-25	64	15	5				-7	-10	-4	80		3	77	0.291		0.011	0.28			3.75	96.25	7		1	6	9.589		50	8.451	0.025		0.004	0.022	15.086		18.519	13.953	322463	27481086	7.9	20.3
jhu/series	36a440be0e56	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-26	65	16	6				-6	-9	-3	96		3	93	0.349		0.011	0.338			3.125	96.875	16			16	20			20.779	0.058			0.058	34.483			37.209	322463	27481086	7.9	20.3
jhu/series	dad01a1d41ce	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-27	66	17	7	1			-5	-8	-2	101		3	98	0.368		0.011	0.357			2.97	97.03	5			5	5.208			5.376	0.018			0.018	10.776			11.628	322463	27481086	7.9	20.3
jhu/series	cafbf4b3fc8e	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-29	68	19	9	3			-3	-6	0	165	1	4	160	0.6	0.004	0.015	0.582		0.606	2.424	96.97	64	1	1	62	63.366		33.333	63.265	0.233	0.004	0.004	0.226	137.931	100	18.519	144.186	322463	27481086	7.9	20.3
jhu/series	1ed27af12e40	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-30	69	20	10	4			-2	-5	1	168	1	6	161	0.611	0.004	0.022	0.586		0.595	3.571	95.833	3		2	1	1.818		50	0.625	0.011		0.007	0.004	6.466		37.037	2.326	322463	27481086	7.9	20.3
jhu/series	1422db1f81d9	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-31	70	21	11	5			-1	-4	2	179	1	7	171	0.651	0.004	0.025	0.622		0.559	3.911	95.531	11		1	10	6.548		16.667	6.211	0.04		0.004	0.036	23.707		18.519	23.256	322463	27481086	7.9	20.3
jhu/series	aac67d1e136c	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-01	71	22	12	6			0	-3	3	190	1	9	180	0.691	0.004	0.033	0.655		0.526	4.737	94.737	11		2	9	6.145		28.571	5.263	0.04		0.007	0.033	23.707		37.037	20.93	322463	27481086	7.9	20.3
jhu/series	56693163d05d	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-02	72	23	13	7			1	-2	4	194	1	15	178	0.706	0.004	0.055	0.648		0.515	7.732	91.753	4		6	-2	2.105		66.667	-1.111	0.015		0.022	-0.007	8.621		111.111	-4.651	322463	27481086	7.9	20.3
jhu/series	e38962e82815	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-03	73	24	14	8			2	-1	5	218	1	19	198	0.793	0.004	0.069	0.72		0.459	8.716	90.826	24		4	20	12.371		26.667	11.236	0.087		0.015	0.073	51.724		74.074	46.512	322463	27481086	7.9	20.3
jhu/series	f338088b2876	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-04	74	25	15	9			3	0	6	245	1	25	219	0.892	0.004	0.091	0.797		0.408	10.204	89.388	27		6	21	12.385		31.579	10.606	0.098		0.022	0.076	58.19		111.111	48.837	322463	27481086	7.9	20.3
jhu/series	e4e3b5149bdf	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-05	75	26	16	10			4	1	7	261	3	37	221	0.95	0.011	0.135	0.804		1.149	14.176	84.674	16	2	12	2	6.531	200	48	0.913	0.058	0.007	0.044	0.007	34.483	200	222.222	4.651	322463	27481086	7.9	20.3
jhu/series	c9466990fc70	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-06	76	27	17	11			5	2	8	323	3	41	279	1.175	0.011	0.149	1.015		0.929	12.693	86.378	62		4	58	23.755		10.811	26.244	0.226		0.015	0.211	133.621		74.074	134.884	322463	27481086	7.9	20.3
jhu/series	29ea6223f6be	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-07	77	28	18	12			6	3	9	349	3	41	305	1.27	0.011	0.149	1.11		0.86	11.748	87.393	26			26	8.05			9.319	0.095			0.095	56.034			60.465	322463	27481086	7.9	20.3
jhu/series	580d9e3eb19d	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-08	78	29	19	13			7	4	10	384	3	48	333	1.397	0.011	0.175	1.212		0.781	12.5	86.719	35		7	28	10.029		17.073	9.18	0.127		0.025	0.102	75.431		129.63	65.116	322463	27481086	7.9	20.3
jhu/series	db6dd58ebd1c	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-04-09	79	30	20	14			8	5	11	444	3	52	389	1.616	0.011	0.189	1.416		0.676	11.712	87.613	60		4	56	15.625		8.333	16.817	0.218		0.015	0.204	129.31		74.074	130.233	322463	27481086	7.9	20.3
