dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	291c18a43cac	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-08	47	1					-11	-11		4			4	1.021			1.021				100	4			4					1.021			1.021	181.818			200	298	391904	4.1	29.5
jhu/series	9a913814d4a7	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-10	49	3					-9	-9		6			6	1.531			1.531				100	2			2	50			50	0.51			0.51	90.909			100	298	391904	4.1	29.5
jhu/series	adfa75c2687a	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-11	50	4					-8	-8		8			8	2.041			2.041				100	2			2	33.333			33.333	0.51			0.51	90.909			100	298	391904	4.1	29.5
jhu/series	a21e1e9ac8f8	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-13	52	6					-6	-6		9			9	2.296			2.296				100	1			1	12.5			12.5	0.255			0.255	45.455			50	298	391904	4.1	29.5
jhu/series	6dbb035e42b0	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-14	53	7	1				-5	-5		10			10	2.552			2.552				100	1			1	11.111			11.111	0.255			0.255	45.455			50	298	391904	4.1	29.5
jhu/series	809308519801	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-15	54	8	2				-4	-4		13			13	3.317			3.317				100	3			3	30			30	0.765			0.765	136.364			150	298	391904	4.1	29.5
jhu/series	9f62806d1e06	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-24	63	17	11				5	5		13		5	8	3.317		1.276	2.041			38.462	61.538			5	-5				-38.462			1.276	-1.276			187.5	-250	298	391904	4.1	29.5
jhu/series	42e7bd6d2305	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-25	64	18	12				6	6		13		8	5	3.317		2.041	1.276			61.538	38.462			3	-3			60	-37.5			0.765	-0.765			112.5	-150	298	391904	4.1	29.5
jhu/series	63c722ee7c1e	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-27	66	20	14				8	8		16		9	7	4.083		2.296	1.786			56.25	43.75	3		1	2	23.077		12.5	40	0.765		0.255	0.51	136.364		37.5	100	298	391904	4.1	29.5
jhu/series	bc3038dcf51f	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-29	68	22	16				10	10		17		13	4	4.338		3.317	1.021			76.471	23.529	1		4	-3	6.25		44.444	-42.857	0.255		1.021	-0.765	45.455		150	-150	298	391904	4.1	29.5
jhu/series	fd8cec920762	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-31	70	24	18				12	12		18		13	5	4.593		3.317	1.276			72.222	27.778	1			1	5.882			25	0.255			0.255	45.455			50	298	391904	4.1	29.5
jhu/series	67653f8f41b3	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-04-01	71	25	19				13	13		19		13	6	4.848		3.317	1.531			68.421	31.579	1			1	5.556			20	0.255			0.255	45.455			50	298	391904	4.1	29.5
