dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2c4cfc63a56c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-22	1	1					-51	-51		1			1	0.163			0.163				100	1			1					0.163			0.163	27.778			27.778	28.2	614458	4.9	40.8
jhu/series	12c8ede7a35c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-23	2	2					-50	-50		2			2	0.325			0.325				100	1			1	100			100	0.163			0.163	27.778			27.778	28.2	614458	4.9	40.8
jhu/series	4e84028b655e	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-26	5	5					-47	-47		5			5	0.814			0.814				100	3			3	150			150	0.488			0.488	83.333			83.333	28.2	614458	4.9	40.8
jhu/series	182f4f6a935f	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-27	6	6					-46	-46		6			6	0.976			0.976				100	1			1	20			20	0.163			0.163	27.778			27.778	28.2	614458	4.9	40.8
jhu/series	5c74533c40a3	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-28	7	7					-45	-45		7			7	1.139			1.139				100	1			1	16.667			16.667	0.163			0.163	27.778			27.778	28.2	614458	4.9	40.8
jhu/series	a5dd97cd501d	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-02	12	12					-40	-40		8			8	1.302			1.302				100	1			1	14.286			14.286	0.163			0.163	27.778			27.778	28.2	614458	4.9	40.8
jhu/series	63b0800268fd	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-04	14	14	1				-38	-38		10			10	1.627			1.627				100	2			2	25			25	0.325			0.325	55.556			55.556	28.2	614458	4.9	40.8
jhu/series	7d58cb56f93c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-06	16	16	3				-36	-36		10		1	9	1.627		0.163	1.465			10	90			1	-1				-10			0.163	-0.163			83.333	-27.778	28.2	614458	4.9	40.8
jhu/series	e8b1612405bb	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-12	22	22	9				-30	-30		10		2	8	1.627		0.325	1.302			20	80			1	-1			100	-11.111			0.163	-0.163			83.333	-27.778	28.2	614458	4.9	40.8
jhu/series	b10d8290268a	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-13	23	23	10				-29	-29		10		3	7	1.627		0.488	1.139			30	70			1	-1			50	-12.5			0.163	-0.163			83.333	-27.778	28.2	614458	4.9	40.8
