dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	73ae7f6c6bb2	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-20	59	1					-14	-17	-12	1			1	0.004391288193613301			0.004391288193613301				100	1			1					2.0491803278688527			2.4271844660194173	1267000	22772361	10.2	14.8
jhu/series	3883b5f69741	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-22	61	3					-12	-15	-10	2			2	0.008782576387226602			0.008782576387226602				100	1			1	100			100	2.0491803278688527			2.4271844660194173	1267000	22772361	10.2	14.8
jhu/series	890d4e368a9c	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-23	62	4					-11	-14	-9	3			3	0.013173864580839906			0.013173864580839906				100	1			1	50			50	2.0491803278688527			2.4271844660194173	1267000	22772361	10.2	14.8
jhu/series	e05a391be561	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-25	64	6					-9	-12	-7	7	1		6	0.030739017355293108	0.004391288193613301		0.026347729161679812		14.285714285714285		85.71428571428571	4	1		3	133.33333333333334			100	8.196721311475411	62.5		7.281553398058252	1267000	22772361	10.2	14.8
jhu/series	7c42ff430424	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-26	65	7	1				-8	-11	-6	10	1		9	0.04391288193613301	0.004391288193613301		0.03952159374251971		10		90	3			3	42.857142857142854			50	6.147540983606558			7.281553398058252	1267000	22772361	10.2	14.8
jhu/series	f81b8cc8b39f	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-29	68	10	4				-5	-8	-3	18	1		17	0.07904318748503943	0.004391288193613301		0.07465189929142613		5.555555555555555		94.44444444444444	8			8	80			88.88888888888889	16.393442622950822			19.41747572815534	1267000	22772361	10.2	14.8
jhu/series	2a6d0316de00	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-30	69	11	5				-4	-7	-2	27	3		24	0.11856478122755913	0.013173864580839906		0.10539091664671925		11.11111111111111		88.88888888888889	9	2		7	50	200		41.1764705882353	18.442622950819672	125		16.99029126213592	1267000	22772361	10.2	14.8
jhu/series	009824f0b09e	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-01	71	13	7				-2	-5	0	74	5		69	0.3249553263273843	0.021956440968066506		0.3029988853593178		6.756756756756757		93.24324324324324	47	2		45	174.07407407407408	66.66666666666667		187.5	96.31147540983606	125		109.22330097087378	1267000	22772361	10.2	14.8
jhu/series	1d3251188750	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-02	72	14	8				-1	-4	1	98	5		93	0.4303462429741035	0.021956440968066506		0.4083898020060371		5.1020408163265305		94.89795918367348	24			24	32.432432432432435			34.78260869565217	49.180327868852466			58.252427184466015	1267000	22772361	10.2	14.8
jhu/series	fc6851e914ce	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-03	73	15	9	1			-0	-3	2	120	5		115	0.5269545832335962	0.021956440968066506		0.5049981422655296		4.166666666666666		95.83333333333334	22			22	22.448979591836736			23.655913978494624	45.08196721311475			53.398058252427184	1267000	22772361	10.2	14.8
jhu/series	bd192560b4e5	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-04	74	16	10	2			0	-2	3	144	8		136	0.6323454998803154	0.03513030554890641		0.597215194331409		5.555555555555555		94.44444444444444	24	3		21	20	60		18.26086956521739	49.180327868852466	187.5		50.970873786407765	1267000	22772361	10.2	14.8
