dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	d5be081b3957	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-14	53	1					-15	-18	-13	3			3	0.01			0.01				100	3			3					7.353			7.177	238533	29340248	6.6	21.4
jhu/series	cf2c1b06b292	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-15	54	2					-14	-17	-12	6			6	0.02			0.02				100	3			3	100			100	7.353			7.177	238533	29340248	6.6	21.4
jhu/series	0d96c0880f12	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-17	56	4					-12	-15	-10	7			7	0.024			0.024				100	1			1	16.667			16.667	2.451			2.392	238533	29340248	6.6	21.4
jhu/series	2c0824dd4d62	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-19	58	6	1				-10	-13	-8	11			11	0.037			0.037				100	4			4	57.143			57.143	9.804			9.569	238533	29340248	6.6	21.4
jhu/series	f8fbaf2b98b0	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-20	59	7	2				-9	-12	-7	16			16	0.055			0.055				100	5			5	45.455			45.455	12.255			11.962	238533	29340248	6.6	21.4
jhu/series	56cba1feb3d3	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-21	60	8	3				-8	-11	-6	19	1		18	0.065	0.003		0.061		5.263		94.737	3	1		2	18.75			12.5	7.353	100		4.785	238533	29340248	6.6	21.4
jhu/series	69fed01d303b	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-22	61	9	4				-7	-10	-5	23	1		22	0.078	0.003		0.075		4.348		95.652	4			4	21.053			22.222	9.804			9.569	238533	29340248	6.6	21.4
jhu/series	b8dd30ed9c2b	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-23	62	10	5				-6	-9	-4	27	2		25	0.092	0.007		0.085		7.407		92.593	4	1		3	17.391	100		13.636	9.804	100		7.177	238533	29340248	6.6	21.4
jhu/series	7bc896c183f7	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-24	63	11	6				-5	-8	-3	53	2		51	0.181	0.007		0.174		3.774		96.226	26			26	96.296			104	63.725			62.201	238533	29340248	6.6	21.4
jhu/series	c73fec37d6cd	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-25	64	12	7				-4	-7	-2	93	4		89	0.317	0.014		0.303		4.301		95.699	40	2		38	75.472	100		74.51	98.039	200		90.909	238533	29340248	6.6	21.4
jhu/series	b6df7f5436d2	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-26	65	13	8	1			-3	-6	-1	132	4	1	127	0.45	0.014	0.003	0.433		3.03	0.758	96.212	39		1	38	41.935			42.697	95.588		60	90.909	238533	29340248	6.6	21.4
jhu/series	165d1a11ec76	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-27	66	14	9	2			-2	-5	0	137	4	2	131	0.467	0.014	0.007	0.446		2.92	1.46	95.62	5		1	4	3.788		100	3.15	12.255		60	9.569	238533	29340248	6.6	21.4
jhu/series	aa5b682107f3	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-28	67	15	10	3			-1	-4	1	141	5	2	134	0.481	0.017	0.007	0.457		3.546	1.418	95.035	4	1		3	2.92	25		2.29	9.804	100		7.177	238533	29340248	6.6	21.4
jhu/series	e1859c69fa97	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-29	68	16	11	4			-0	-3	2	152	5	2	145	0.518	0.017	0.007	0.494		3.289	1.316	95.395	11			11	7.801			8.209	26.961			26.316	238533	29340248	6.6	21.4
jhu/series	7650e8bf64e0	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-03-31	70	18	13	6			1	-1	4	161	5	31	125	0.549	0.017	0.106	0.426		3.106	19.255	77.64	9		29	-20	5.921		1450	-13.793	22.059		1740	-47.847	238533	29340248	6.6	21.4
jhu/series	55f7ac54577b	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-04-01	71	19	14	7			2	0	5	195	5	31	159	0.665	0.017	0.106	0.542		2.564	15.897	81.538	34			34	21.118			27.2	83.333			81.34	238533	29340248	6.6	21.4
jhu/series	77a31cf6d6ac	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-04-02	72	20	15	8			3	1	6	204	5	31	168	0.695	0.017	0.106	0.573		2.451	15.196	82.353	9			9	4.615			5.66	22.059			21.531	238533	29340248	6.6	21.4
jhu/series	842bef240a37	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-04-03	73	21	16	9			4	2	7	205	5	31	169	0.699	0.017	0.106	0.576		2.439	15.122	82.439	1			1	0.49			0.595	2.451			2.392	238533	29340248	6.6	21.4
jhu/series	1110849098f7	e9584b4d3266	total-country	Ghana	GH	Ghana			8	-2	Africa	Western Africa	2020-04-05	75	23	18	11			6	4	9	214	5	31	178	0.729	0.017	0.106	0.607		2.336	14.486	83.178	9			9	4.39			5.325	22.059			21.531	238533	29340248	6.6	21.4
