dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	34f6ea2f87c7	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-02-28	38	1					-34	-35	-34	1			1	0.010550840384987504			0.010550840384987504				100	1			1					0.9124087591240877			0.9310986964618249	207600	9477918	13.1	40.9
jhu/series	34a33df3d59d	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-04	43	6					-29	-30	-29	6			6	0.06330504230992504			0.06330504230992504				100	5			5	500			500	4.562043795620438			4.655493482309125	207600	9477918	13.1	40.9
jhu/series	bc222843b618	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-09	48	11					-24	-25	-24	6		1	5	0.06330504230992504		0.010550840384987504	0.05275420192493753			16.666666666666664	83.33333333333334			1	-1				-16.666666666666668			15.151515151515152	-0.9310986964618249	207600	9477918	13.1	40.9
jhu/series	0c496008bd29	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-10	49	12					-23	-24	-23	9		3	6	0.09495756346488755		0.03165252115496252	0.06330504230992504			33.33333333333333	66.66666666666666	3		2	1	50		200	20	2.737226277372263		30.303030303030305	0.9310986964618249	207600	9477918	13.1	40.9
jhu/series	01d1ee07da55	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-12	51	14	1				-21	-22	-21	12		3	9	0.12661008461985007		0.03165252115496252	0.09495756346488755			25	75	3			3	33.333333333333336			50	2.737226277372263			2.793296089385475	207600	9477918	13.1	40.9
jhu/series	13d182a6f86f	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-13	52	15	2				-20	-21	-20	27		3	24	0.2848726903946627		0.03165252115496252	0.25322016923970014			11.11111111111111	88.88888888888889	15			15	125			166.66666666666666	13.686131386861314			13.966480446927374	207600	9477918	13.1	40.9
jhu/series	88be05c7cd0a	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-16	55	18	5				-17	-18	-17	36		3	33	0.3798302538595502		0.03165252115496252	0.3481777327045877			8.333333333333332	91.66666666666666	9			9	33.333333333333336			37.5	8.211678832116789			8.379888268156424	207600	9477918	13.1	40.9
jhu/series	2c3de5b94d13	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-18	57	20	7				-15	-16	-15	51		5	46	0.5380928596343627		0.05275420192493753	0.4853386577094252			9.803921568627452	90.19607843137256	15		2	13	41.666666666666664		66.66666666666667	39.39393939393939	13.686131386861314		30.303030303030305	12.104283054003725	207600	9477918	13.1	40.9
jhu/series	f9d3bdeb7672	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-20	59	22	9				-13	-14	-13	69		5	64	0.7280079865641378		0.05275420192493753	0.6752537846392003			7.246376811594203	92.7536231884058	18			18	35.294117647058826			39.130434782608695	16.423357664233578			16.75977653631285	207600	9477918	13.1	40.9
jhu/series	e7e03937786f	56538be50a85	total-country	Belarus	BY	Belarus			53	28	Europe	Eastern Europe	2020-03-21	60	23	10				-12	-13	-12	76		15	61	0.8018638692590504		0.15826260577481258	0.6436012634842379			19.736842105263158	80.26315789473685	7		10	-3	10.144927536231885		200	-4.6875	6.386861313868613		151.5151515151515	-2.793296089385475	207600	9477918	13.1	40.9
