dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	5455357eaa49	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-13	52	1					-15	-15		1			1	0.0009249568623243334			0.0009249568623243334				100	1			1					20.833333333333336			20	1104300	108113150	5.9	19.8
jhu/series	42c0631c328f	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-16	55	4					-12	-12		5			5	0.0046247843116216675			0.0046247843116216675				100	4			4	400			400	83.33333333333334			80	1104300	108113150	5.9	19.8
jhu/series	3b753cb21078	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-18	57	6					-10	-10		6			6	0.005549741173946			0.005549741173946				100	1			1	20			20	20.833333333333336			20	1104300	108113150	5.9	19.8
jhu/series	ee0052d3555d	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-20	59	8					-8	-8		9			9	0.008324611760919			0.008324611760919				100	3			3	50			50	62.5			60	1104300	108113150	5.9	19.8
jhu/series	10475bd64e47	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-22	61	10	1				-6	-6		11		4	7	0.010174525485567668		0.0036998274492973334	0.006474698036270334			36.36363636363637	63.63636363636363	2		4	-2	22.22222222222222			-22.22222222222222	41.66666666666667		266.66666666666663	-40	1104300	108113150	5.9	19.8
jhu/series	15bdacbad830	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-24	63	12	3				-4	-4		12			12	0.011099482347892			0.011099482347892				100	1		-4	5	9.090909090909092		-100	71.42857142857143	20.833333333333336		-266.66666666666663	100	1104300	108113150	5.9	19.8
jhu/series	46fe3b5acb29	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-27	66	15	6				-1	-1		16			16	0.014799309797189334			0.014799309797189334				100	4			4	33.333333333333336			33.333333333333336	83.33333333333334			80	1104300	108113150	5.9	19.8
jhu/series	976d9385c3d6	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-28	67	16	7				0	0		16		1	15	0.014799309797189334		0.0009249568623243334	0.013874352934865003			6.25	93.75			1	-1				-6.25			66.66666666666666	-20	1104300	108113150	5.9	19.8
jhu/series	975aaef44abb	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-29	68	17	8				1	1		21		1	20	0.019424094108811		0.0009249568623243334	0.01849913724648667			4.761904761904762	95.23809523809523	5			5	31.25			33.333333333333336	104.16666666666667			100	1104300	108113150	5.9	19.8
jhu/series	2219fe470a06	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-30	69	18	9				2	2		23		4	19	0.021274007833459667		0.0036998274492973334	0.017574180384162336			17.391304347826086	82.6086956521739	2		3	-1	9.523809523809524		300	-5	41.66666666666667		200	-20	1104300	108113150	5.9	19.8
jhu/series	31f34f6b06bd	128fa67f6f48	total-country	Ethiopia	ET	Ethiopia			8	38	Africa	Eastern Africa	2020-03-31	70	19	10				3	3		26		2	24	0.024048878420432667		0.0018499137246486667	0.022198964695784			7.6923076923076925	92.3076923076923	3		-2	5	13.043478260869565		-50	26.31578947368421	62.5		-133.33333333333331	100	1104300	108113150	5.9	19.8
