dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	ad25ec4eddcf	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-02-29	39	1					-38	-38	-39	1			1	0.019			0.019				100	1			1					0.019			0.019	0.173			0.18	70273	5176569	6.8	37.8
jhu/series	b04d0f7cfd44	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-03	42	4					-35	-35	-36	2			2	0.039			0.039				100	1			1	100			100	0.019			0.019	0.173			0.18	70273	5176569	6.8	37.8
jhu/series	8d49ee0c7350	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-04	43	5					-34	-34	-35	6			6	0.116			0.116				100	4			4	200			200	0.077			0.077	0.692			0.719	70273	5176569	6.8	37.8
jhu/series	73ff7b44d66f	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-06	45	7	1				-32	-32	-33	18			18	0.348			0.348				100	12			12	200			200	0.232			0.232	2.075			2.157	70273	5176569	6.8	37.8
jhu/series	0016fac9b335	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-08	47	9	3				-30	-30	-31	19			19	0.367			0.367				100	1			1	5.556			5.556	0.019			0.019	0.173			0.18	70273	5176569	6.8	37.8
jhu/series	7d7d73b92a37	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-09	48	10	4				-29	-29	-30	21			21	0.406			0.406				100	2			2	10.526			10.526	0.039			0.039	0.346			0.359	70273	5176569	6.8	37.8
jhu/series	3a950259251d	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-10	49	11	5				-28	-28	-29	34			34	0.657			0.657				100	13			13	61.905			61.905	0.251			0.251	2.248			2.336	70273	5176569	6.8	37.8
jhu/series	97b15bb12c1e	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-11	50	12	6				-27	-27	-28	43	1		42	0.831	0.019		0.811		2.326		97.674	9	1		8	26.471			23.529	0.174	0.019		0.155	1.556	3.788		1.438	70273	5176569	6.8	37.8
jhu/series	60f12566e3a6	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-13	52	14	8				-25	-25	-26	90	1		89	1.739	0.019		1.719		1.111		98.889	47			47	109.302			111.905	0.908			0.908	8.126			8.447	70273	5176569	6.8	37.8
jhu/series	697184d376e7	146139b33e8e	total-country	Ireland	IE	Ireland			53	-8	Europe	Northern Europe	2020-03-14	53	15	9	1			-24	-24	-25	129	2		127	2.492	0.039		2.453		1.55		98.45	39	1		38	43.333	100		42.697	0.753	0.019		0.734	6.743	3.788		6.83	70273	5176569	6.8	37.8
