dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	0e024b9b372e	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-25	35	1					-32	-29	-35	2			2	0.022574767347269563			0.022574767347269563				100	2			2					0.2470966147763776			0.2683843263553408	83871	8859449	9.8	44.5
jhu/daily	8ad130898b05	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-27	37	3					-30	-27	-33	3			3	0.03386215102090435			0.03386215102090435				100	1			1	50			50	0.1235483073881888			0.1341921631776704	83871	8859449	9.8	44.5
jhu/daily	4753c6f5cb49	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-29	39	5					-28	-25	-31	9			9	0.10158645306271304			0.10158645306271304				100	6			6	200			200	0.7412898443291327			0.8051529790660225	83871	8859449	9.8	44.5
jhu/daily	bdb7273733a6	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-01	40	6	1				-27	-24	-30	14			14	0.15802337143088696			0.15802337143088696				100	5			5	55.55555555555556			55.55555555555556	0.6177415369409439			0.6709608158883521	83871	8859449	9.8	44.5
jhu/daily	3b53bc8ec078	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-02	41	7	2				-26	-23	-29	18			18	0.20317290612542607			0.20317290612542607				100	4			4	28.571428571428573			28.571428571428573	0.4941932295527552			0.5367686527106816	83871	8859449	9.8	44.5
jhu/daily	2541a6abadf9	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-03	42	8	3				-25	-22	-28	21			21	0.23703505714633039			0.23703505714633039				100	3			3	16.666666666666668			16.666666666666668	0.37064492216456635			0.40257648953301123	83871	8859449	9.8	44.5
jhu/daily	194cb1659602	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-04	43	9	4				-24	-21	-27	29			29	0.32733412653540866			0.32733412653540866				100	8			8	38.095238095238095			38.095238095238095	0.9883864591055104			1.0735373054213633	83871	8859449	9.8	44.5
jhu/daily	612f3f5055b6	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-05	44	10	5				-23	-20	-26	41			41	0.4627827306190261			0.4627827306190261				100	12			12	41.37931034482759			41.37931034482759	1.4825796886582654			1.610305958132045	83871	8859449	9.8	44.5
jhu/daily	325ae88a3807	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-06	45	11	6				-22	-19	-25	55			55	0.620806102049913			0.620806102049913				100	14			14	34.146341463414636			34.146341463414636	1.7296763034346432			1.8786902844873858	83871	8859449	9.8	44.5
jhu/daily	170cbf145ea8	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-07	46	12	7				-21	-18	-24	79			79	0.8917033102171478			0.8917033102171478				100	24			24	43.63636363636363			43.63636363636363	2.965159377316531			3.22061191626409	83871	8859449	9.8	44.5
jhu/daily	3fe4e50ac007	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-08	47	13	8	1			-20	-17	-23	104			104	1.1738879020580173			1.1738879020580173				100	25			25	31.645569620253166			31.645569620253166	3.0887076847047195			3.3548040794417604	83871	8859449	9.8	44.5
