dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	cb2076089463	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-03-23	62	1					-14	-15	-14	1			1	0.25			0.25				100	1			1					0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	da14c76c98e4	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-03-25	64	3					-12	-13	-12	2			2	0.501			0.501				100	1			1	100			100	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	95664224b71b	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-03-30	69	8					-7	-8	-7	3			3	0.751			0.751				100	1			1	50			50	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	12fb32c94d60	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-03	73	12					-3	-4	-3	4			4	1.001			1.001				100	1			1	33.333			33.333	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	2b9a7efc548f	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-05	75	14					-1	-2	-1	5			5	1.251			1.251				100	1			1	25			25	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	65d303ff5c8e	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-06	76	15					-0	-1	0	7	1		6	1.752	0.25		1.502		14.286		85.714	2	1		1	40			20	0.501	0.25		0.25	166.667	100		100	22966	399598	4.1	23.9
jhu/daily	fa8afd5706e7	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-08	78	17					1	1	2	8	1		7	2.002	0.25		1.752		12.5		87.5	1			1	14.286			16.667	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	33c34dc4ed0d	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-09	79	18					2	2	3	9	1		8	2.252	0.25		2.002		11.111		88.889	1			1	12.5			14.286	0.25			0.25	83.333			100	22966	399598	4.1	23.9
jhu/daily	c93b0cfda8cb	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-10	80	19	1				3	3	4	10	2		8	2.503	0.501		2.002		20		80	1	1			11.111	100			0.25	0.25			83.333	100			22966	399598	4.1	23.9
jhu/daily	8d01db26168f	a68b71054629	total-country	Belize	BZ	Belize			17.25	-88.75	Americas	Central America	2020-04-11	81	20	2				4	4	5	13	2		11	3.253	0.501		2.753		15.385		84.615	3			3	30			37.5	0.751			0.751	250			300	22966	399598	4.1	23.9
