dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	386efcb836bb	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-06	45	1					-32	-33	-32	1			1	0.003			0.003				100	1			1					0.003			0.003	0.146			0.182	1285216	31914989	6.2	29.1
jhu/daily	15a73ad798e9	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-08	47	3					-30	-31	-30	6			6	0.019			0.019				100	5			5	500			500	0.016			0.016	0.728			0.908	1285216	31914989	6.2	29.1
jhu/daily	2524558dd53b	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-09	48	4					-29	-30	-29	7			7	0.022			0.022				100	1			1	16.667			16.667	0.003			0.003	0.146			0.182	1285216	31914989	6.2	29.1
jhu/daily	f6ea2fc6c4c0	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-10	49	5	1				-28	-29	-28	11			11	0.034			0.034				100	4			4	57.143			57.143	0.013			0.013	0.582			0.726	1285216	31914989	6.2	29.1
jhu/daily	a5d31e1bfa55	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-12	51	7	3				-26	-27	-26	15			15	0.047			0.047				100	4			4	36.364			36.364	0.013			0.013	0.582			0.726	1285216	31914989	6.2	29.1
jhu/daily	68bf6bed59d5	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-13	52	8	4				-25	-26	-25	28			28	0.088			0.088				100	13			13	86.667			86.667	0.041			0.041	1.893			2.361	1285216	31914989	6.2	29.1
jhu/daily	4bfbad493e21	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-14	53	9	5				-24	-25	-24	38			38	0.119			0.119				100	10			10	35.714			35.714	0.031			0.031	1.456			1.816	1285216	31914989	6.2	29.1
jhu/daily	f1d1d4308d5e	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-15	54	10	6				-23	-24	-23	43			43	0.135			0.135				100	5			5	13.158			13.158	0.016			0.016	0.728			0.908	1285216	31914989	6.2	29.1
jhu/daily	38647853aeb4	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-16	55	11	7				-22	-23	-22	86			86	0.269			0.269				100	43			43	100			100	0.135			0.135	6.261			7.81	1285216	31914989	6.2	29.1
jhu/daily	00f28360a7be	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-17	56	12	8	1			-21	-22	-21	117		1	116	0.367		0.003	0.363			0.855	99.145	31		1	30	36.047			34.884	0.097		0.003	0.094	4.514		0.459	5.449	1285216	31914989	6.2	29.1
jhu/daily	3d0129585fd9	5a6819ce9f53	total-country	Peru	PE	Peru			-10	-76	Americas	South America	2020-03-18	57	13	9	2			-20	-21	-20	145		1	144	0.454		0.003	0.451			0.69	99.31	28			28	23.932			24.138	0.088			0.088	4.077			5.085	1285216	31914989	6.2	29.1
