dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	8c9d91603883	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-01-30	9	1					-65	-65	-65	1			1	7.540947835020534e-05			7.540947835020534e-05				100	1			1					0.17863522686673813			0.20008003201280514	3287263	1326093247	7.3	28.7
jhu/daily	8d4deee4175c	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-02-02	12	4					-62	-62	-62	2			2	0.00015081895670041067			0.00015081895670041067				100	1			1	100			100	0.17863522686673813			0.20008003201280514	3287263	1326093247	7.3	28.7
jhu/daily	105c36d7e507	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-02-03	13	5					-61	-61	-61	3			3	0.00022622843505061603			0.00022622843505061603				100	1			1	50			50	0.17863522686673813			0.20008003201280514	3287263	1326093247	7.3	28.7
jhu/daily	70c7f780199d	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-02-16	26	18					-48	-48	-48	3		3		0.00022622843505061603		0.00022622843505061603				100				3	-3				-100			6.2761506276150625	-0.6002400960384154	3287263	1326093247	7.3	28.7
jhu/daily	f66720c0d2c2	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-02	41	33					-33	-33	-33	5		3	2	0.0003770473917510267		0.00022622843505061603	0.00015081895670041067			60	40	2			2	66.66666666666667				0.35727045373347627			0.4001600640256103	3287263	1326093247	7.3	28.7
jhu/daily	158c14d95e4e	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-04	43	35	1				-31	-31	-31	28		3	25	0.0021114653938057496		0.00022622843505061603	0.0018852369587551334			10.714285714285714	89.28571428571429	23			23	460			1150	4.108610217934977			4.601840736294518	3287263	1326093247	7.3	28.7
jhu/daily	052938a3d182	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-05	44	36	2				-30	-30	-30	30		3	27	0.0022622843505061604		0.00022622843505061603	0.0020360559154555444			10	90	2			2	7.142857142857143			8	0.35727045373347627			0.4001600640256103	3287263	1326093247	7.3	28.7
jhu/daily	85f8125d37bd	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-06	45	37	3				-29	-29	-29	31		3	28	0.0023376938288563655		0.00022622843505061603	0.0021114653938057496			9.67741935483871	90.32258064516128	1			1	3.3333333333333335			3.7037037037037037	0.17863522686673813			0.20008003201280514	3287263	1326093247	7.3	28.7
jhu/daily	f8209c4f8b53	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-07	46	38	4				-28	-28	-28	34		3	31	0.0025639222639069815		0.00022622843505061603	0.0023376938288563655			8.823529411764707	91.17647058823529	3			3	9.67741935483871			10.714285714285714	0.5359056806002145			0.6002400960384154	3287263	1326093247	7.3	28.7
jhu/daily	e53a9daecafe	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-08	47	39	5				-27	-27	-27	39		3	36	0.0029409696556580082		0.00022622843505061603	0.0027147412206073923			7.6923076923076925	92.3076923076923	5			5	14.705882352941176			16.129032258064516	0.8931761343336907			1.0004001600640255	3287263	1326093247	7.3	28.7
jhu/daily	49a93dc4a78d	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-09	48	40	6				-26	-26	-26	43		3	40	0.0032426075690588294		0.00022622843505061603	0.0030163791340082134			6.976744186046512	93.02325581395348	4			4	10.256410256410257			11.11111111111111	0.7145409074669525			0.8003201280512205	3287263	1326093247	7.3	28.7
jhu/daily	230c966b9bb0	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-10	49	41	7				-25	-25	-25	56		4	52	0.004222930787611499		0.00030163791340082134	0.003921292874210678			7.142857142857142	92.85714285714286	13		1	12	30.232558139534884		33.333333333333336	30	2.322257949267596		2.0920502092050213	2.4009603841536618	3287263	1326093247	7.3	28.7
jhu/daily	37fd0fb952f6	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-11	50	42	8				-24	-24	-24	62	1	4	57	0.004675387657712731	7.540947835020534e-05	0.00030163791340082134	0.004298340265961704		1.6129032258064515	6.451612903225806	91.93548387096774	6	1		5	10.714285714285714			9.615384615384615	1.071811361200429	5.376344086021505		1.0004001600640255	3287263	1326093247	7.3	28.7
jhu/daily	1f934811c7e3	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-12	51	43	9				-23	-23	-23	73	1	4	68	0.00550489191956499	7.540947835020534e-05	0.00030163791340082134	0.005127844527813963		1.36986301369863	5.47945205479452	93.15068493150685	11			11	17.741935483870968			19.29824561403509	1.9649874955341196			2.200880352140856	3287263	1326093247	7.3	28.7
jhu/daily	367b4b381fc7	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-13	52	44	10				-22	-22	-22	82	2	4	76	0.006183577224716837	0.00015081895670041067	0.00030163791340082134	0.005731120354615606		2.4390243902439024	4.878048780487805	92.6829268292683	9	1		8	12.32876712328767	100		11.764705882352942	1.6077170418006432	5.376344086021505		1.600640256102441	3287263	1326093247	7.3	28.7
jhu/daily	60badd80c7e7	5220a869c147	total-country	India	IN	India			20	77	Asia	Southern Asia	2020-03-14	53	45	11	1			-21	-21	-21	102	2	4	96	0.007691766791720945	0.00015081895670041067	0.00030163791340082134	0.007239309921619713		1.9607843137254901	3.9215686274509802	94.11764705882352	20			20	24.390243902439025			26.31578947368421	3.572704537334763			4.001600640256102	3287263	1326093247	7.3	28.7
