dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	d3754df8f843	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-03-20	59	1					-16	-17	-16	1			1	2.281			2.281				100	1			1					2.281			2.281	17.857			25	34	43847	5.8	41.1
jhu/daily	c6663d611188	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-03-23	62	4					-13	-14	-13	2			2	4.561			4.561				100	1			1	100			100	2.281			2.281	17.857			25	34	43847	5.8	41.1
jhu/daily	ee550892dc48	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-03-25	64	6					-11	-12	-11	3			3	6.842			6.842				100	1			1	50			50	2.281			2.281	17.857			25	34	43847	5.8	41.1
jhu/daily	d897ef404b75	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-03-29	68	10					-7	-8	-7	6			6	13.684			13.684				100	3			3	100			100	6.842			6.842	53.571			75	34	43847	5.8	41.1
jhu/daily	8ade3529ec26	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-01	71	13	1				-4	-5	-4	16	1	6	9	36.491	2.281	13.684	20.526		6.25	37.5	56.25	10	1	6	3	166.667			50	22.807	2.281	13.684	6.842	178.571	71.429	300	75	34	43847	5.8	41.1
jhu/daily	8b5cbcb783a6	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-02	72	14	2				-3	-4	-3	18	1	6	11	41.052	2.281	13.684	25.087		5.556	33.333	61.111	2			2	12.5			22.222	4.561			4.561	35.714			50	34	43847	5.8	41.1
jhu/daily	29d8bac343b7	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-03	73	15	3				-2	-3	-2	23	2	6	15	52.455	4.561	13.684	34.21		8.696	26.087	65.217	5	1		4	27.778	100		36.364	11.403	2.281		9.123	89.286	71.429		100	34	43847	5.8	41.1
jhu/daily	52cbc3b967f4	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-04	74	16	4				-1	-2	-1	23	4	6	13	52.455	9.123	13.684	29.649		17.391	26.087	56.522		2		-2		100		-13.333		4.561		-4.561		142.857		-50	34	43847	5.8	41.1
jhu/daily	6e402265f09f	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-05	75	17	5				-0	-1	0	25	4	1	20	57.016	9.123	2.281	45.613		16	4	80	2		-5	7	8.696		-83.333	53.846	4.561		-11.403	15.965	35.714		-250	175	34	43847	5.8	41.1
jhu/daily	98d123a4b9e6	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-06	76	18	6				0	0	1	37	6	1	30	84.384	13.684	2.281	68.42		16.216	2.703	81.081	12	2		10	48	50		50	27.368	4.561		22.807	214.286	142.857		250	34	43847	5.8	41.1
jhu/daily	b71e9f30f342	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-07	77	19	7				1	1	2	40	6	1	33	91.226	13.684	2.281	75.262		15	2.5	82.5	3			3	8.108			10	6.842			6.842	53.571			75	34	43847	5.8	41.1
jhu/daily	4ef11dbd606a	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-09	79	21	9				3	3	4	43	6	1	36	98.068	13.684	2.281	82.104		13.953	2.326	83.721	3			3	7.5			9.091	6.842			6.842	53.571			75	34	43847	5.8	41.1
jhu/daily	79d66836c791	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-10	80	22	10				4	4	5	50	8	3	39	114.033	18.245	6.842	88.946		16	6	78	7	2	2	3	16.279	33.333	200	8.333	15.965	4.561	4.561	6.842	125	142.857	100	75	34	43847	5.8	41.1
jhu/daily	a78ed061b002	65eca8d967af	total-country	Sint Maarten	SX	Sint Maarten			18.033333	-63.05	Americas	Caribbean	2020-04-11	81	23	11				5	5	6	50	9	5	36	114.033	20.526	11.403	82.104		18	10	72		1	2	-3		12.5	66.667	-7.692		2.281	4.561	-6.842		71.429	100	-75	34	43847	5.8	41.1
