dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	5e5e69f7e88a	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-24	34	1					-33	-40	-26	1			1	0.0664450502756473			0.0664450502756473				100	1			1					1.661129568106312			2.824858757062147	760	1505003	2.8	32.9
jhu/daily	e6250884d443	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-25	35	2	1				-32	-39	-25	23			23	1.5282361563398879			1.5282361563398879				100	22			22	2200			2200	36.544850498338874			62.14689265536724	760	1505003	2.8	32.9
jhu/daily	fce636aa2e5c	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-26	36	3	2				-31	-38	-24	33			33	2.1926866590963607			2.1926866590963607				100	10			10	43.47826086956522			43.47826086956522	16.611295681063122			28.24858757062147	760	1505003	2.8	32.9
jhu/daily	112efb15e0e6	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-28	38	5	4				-29	-36	-22	36			36	2.3920218099233024			2.3920218099233024				100	3			3	9.090909090909092			9.090909090909092	4.983388704318937			8.474576271186441	760	1505003	2.8	32.9
jhu/daily	2bd374988419	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-29	39	6	5				-28	-35	-21	41			41	2.724247061301539			2.724247061301539				100	5			5	13.88888888888889			13.88888888888889	8.305647840531561			14.124293785310735	760	1505003	2.8	32.9
jhu/daily	1c03c485eccb	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-01	40	7	6				-27	-34	-20	47			47	3.1229173629554228			3.1229173629554228				100	6			6	14.634146341463415			14.634146341463415	9.966777408637874			16.949152542372882	760	1505003	2.8	32.9
jhu/daily	36051af4e464	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-02	41	8	7				-26	-33	-19	49			49	3.2558074635067173			3.2558074635067173				100	2			2	4.25531914893617			4.25531914893617	3.322259136212624			5.649717514124294	760	1505003	2.8	32.9
jhu/daily	7825b8d123a2	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-04	43	10	9				-24	-31	-17	52			52	3.4551426143336594			3.4551426143336594				100	3			3	6.122448979591836			6.122448979591836	4.983388704318937			8.474576271186441	760	1505003	2.8	32.9
jhu/daily	c5809e09a40e	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-05	44	11	10				-23	-30	-16	55			55	3.654477765160601			3.654477765160601				100	3			3	5.769230769230769			5.769230769230769	4.983388704318937			8.474576271186441	760	1505003	2.8	32.9
jhu/daily	088a2c7c228a	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-06	45	12	11				-22	-29	-15	60		4	56	3.9867030165388373		0.2657802011025892	3.7209228154362486			6.666666666666667	93.33333333333333	5		4	1	9.090909090909092			1.8181818181818181	8.305647840531561		10.526315789473683	2.824858757062147	760	1505003	2.8	32.9
