dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	c6ff06d18b1c	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-08	47	1					-29	-30	-29	1			1	0.02972213371631293			0.02972213371631293				100	1			1					0.9310986964618249			1.002004008016032	33851	3364496	12.6	37.7
jhu/daily	409fd1049cd0	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-10	49	3					-27	-28	-27	3			3	0.0891664011489388			0.0891664011489388				100	2			2	200			200	1.8621973929236497			2.004008016032064	33851	3364496	12.6	37.7
jhu/daily	4e40e5318ff6	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-13	52	6					-24	-25	-24	6			6	0.1783328022978776			0.1783328022978776				100	3			3	100			100	2.793296089385475			3.0060120240480965	33851	3364496	12.6	37.7
jhu/daily	feaea9e3e7b8	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-14	53	7	1				-23	-24	-23	12			12	0.3566656045957552			0.3566656045957552				100	6			6	100			100	5.58659217877095			6.012024048096193	33851	3364496	12.6	37.7
jhu/daily	7e7ba5fd1d10	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-15	54	8	2				-22	-23	-22	23			23	0.6836090754751974			0.6836090754751974				100	11			11	91.66666666666667			91.66666666666667	10.242085661080074			11.022044088176353	33851	3364496	12.6	37.7
jhu/daily	6b6351841e53	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-17	56	10	4				-20	-21	-20	30		1	29	0.8916640114893879		0.02972213371631293	0.861941877773075			3.3333333333333335	96.66666666666667	7		1	6	30.434782608695652			26.08695652173913	6.517690875232775		17.857142857142858	6.012024048096193	33851	3364496	12.6	37.7
jhu/daily	938072047dc9	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-18	57	11	5				-19	-20	-19	30	1	1	28	0.8916640114893879	0.02972213371631293	0.02972213371631293	0.832219744056762		3.3333333333333335	3.3333333333333335	93.33333333333333		1		-1				-3.4482758620689653		31.25		-1.002004008016032	33851	3364496	12.6	37.7
jhu/daily	b560f61a7e66	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-19	58	12	6				-18	-19	-18	49	1	1	47	1.4563845520993337	0.02972213371631293	0.02972213371631293	1.3969402846667078		2.0408163265306123	2.0408163265306123	95.91836734693877	19			19	63.333333333333336			67.85714285714286	17.690875232774673			19.03807615230461	33851	3364496	12.6	37.7
jhu/daily	f2927d888a9f	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-20	59	13	7				-17	-18	-17	66	1	1	64	1.9616608252766534	0.02972213371631293	0.02972213371631293	1.9022165578440275		1.5151515151515151	1.5151515151515151	96.96969696969697	17			17	34.69387755102041			36.170212765957444	15.828677839851025			17.034068136272545	33851	3364496	12.6	37.7
jhu/daily	912a5b64c5b0	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-21	60	14	8				-16	-17	-16	80	1	1	78	2.377770697305035	0.02972213371631293	0.02972213371631293	2.318326429872409		1.25	1.25	97.5	14			14	21.21212121212121			21.875	13.03538175046555			14.02805611222445	33851	3364496	12.6	37.7
