dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	45e122a9b714	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-23	2	1					-71	-73	-69	1			1	0.016103941278588524			0.016103941278588524				100	1			1					0.9671179883945841			1.187648456057007	719.2	6209660	3.6	35.6
jhu/daily	6de182310da3	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-24	3	2					-70	-72	-68	3			3	0.048311823835765565			0.048311823835765565				100	2			2	200			200	1.9342359767891681			2.375296912114014	719.2	6209660	3.6	35.6
jhu/daily	4665e353d6ae	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-26	5	4					-68	-70	-66	4			4	0.0644157651143541			0.0644157651143541				100	1			1	33.333333333333336			33.333333333333336	0.9671179883945841			1.187648456057007	719.2	6209660	3.6	35.6
jhu/daily	6d8635c0f61e	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-27	6	5					-67	-69	-65	5			5	0.0805197063929426			0.0805197063929426				100	1			1	25			25	0.9671179883945841			1.187648456057007	719.2	6209660	3.6	35.6
jhu/daily	430b4d0d2264	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-28	7	6					-66	-68	-64	7			7	0.11272758895011965			0.11272758895011965				100	2			2	40			40	1.9342359767891681			2.375296912114014	719.2	6209660	3.6	35.6
jhu/daily	c10e9a0b36e7	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-30	9	8	1				-64	-66	-62	10			10	0.1610394127858852			0.1610394127858852				100	3			3	42.857142857142854			42.857142857142854	2.9013539651837523			3.5629453681710213	719.2	6209660	3.6	35.6
jhu/daily	7b117a5d3649	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-31	10	9	2				-63	-65	-61	13			13	0.20935123662165078			0.20935123662165078				100	3			3	30			30	2.9013539651837523			3.5629453681710213	719.2	6209660	3.6	35.6
jhu/daily	3749dc27876a	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-01	11	10	3				-62	-64	-60	16			16	0.2576630604574164			0.2576630604574164				100	3			3	23.076923076923077			23.076923076923077	2.9013539651837523			3.5629453681710213	719.2	6209660	3.6	35.6
jhu/daily	ae28612c9f45	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-02	12	11	4				-61	-63	-59	18			18	0.2898709430145934			0.2898709430145934				100	2			2	12.5			12.5	1.9342359767891681			2.375296912114014	719.2	6209660	3.6	35.6
jhu/daily	6e18a1831afa	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-04	14	13	6				-59	-61	-57	24			24	0.3864945906861245			0.3864945906861245				100	6			6	33.333333333333336			33.333333333333336	5.802707930367505			7.1258907363420425	719.2	6209660	3.6	35.6
