dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	498c5a68b07d	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-20	59	1					-15	-14	-16	2			2	0.018			0.018				100	2			2					0.018			0.018	71.429			71.429	27750	11067777	7.4	24.1
jhu/daily	a7873dda7e95	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-23	62	4					-12	-11	-13	6			6	0.054			0.054				100	4			4	200			200	0.036			0.036	142.857			142.857	27750	11067777	7.4	24.1
jhu/daily	92da4483f7b8	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-24	63	5					-11	-10	-12	7			7	0.063			0.063				100	1			1	16.667			16.667	0.009			0.009	35.714			35.714	27750	11067777	7.4	24.1
jhu/daily	6749491acdbe	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-25	64	6					-10	-9	-11	8			8	0.072			0.072				100	1			1	14.286			14.286	0.009			0.009	35.714			35.714	27750	11067777	7.4	24.1
jhu/daily	2b84a2c39835	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-03-29	68	10	1				-6	-5	-7	15		1	14	0.136		0.009	0.126			6.667	93.333	7		1	6	87.5			75	0.063		0.009	0.054	250			214.286	27750	11067777	7.4	24.1
jhu/daily	8663f2baa698	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-01	71	13	4				-3	-2	-4	16		1	15	0.145		0.009	0.136			6.25	93.75	1			1	6.667			7.143	0.009			0.009	35.714			35.714	27750	11067777	7.4	24.1
jhu/daily	eddb463363f0	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-03	73	15	6				-1	0	-2	18		1	17	0.163		0.009	0.154			5.556	94.444	2			2	12.5			13.333	0.018			0.018	71.429			71.429	27750	11067777	7.4	24.1
jhu/daily	4f339c28ee38	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-04	74	16	7				0	1	-1	20		1	19	0.181		0.009	0.172			5	95	2			2	11.111			11.765	0.018			0.018	71.429			71.429	27750	11067777	7.4	24.1
jhu/daily	9628320e56be	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-05	75	17	8				1	2	0	21	1	1	19	0.19	0.009	0.009	0.172		4.762	4.762	90.476	1	1			5				0.009	0.009			35.714	100			27750	11067777	7.4	24.1
jhu/daily	eee7366cbab0	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-06	76	18	9				2	3	1	24	1		23	0.217	0.009		0.208		4.167		95.833	3		-1	4	14.286		-100	21.053	0.027		-0.009	0.036	107.143			142.857	27750	11067777	7.4	24.1
jhu/daily	a6f72034372a	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-07	77	19	10				3	4	2	25	1		24	0.226	0.009		0.217		4		96	1			1	4.167			4.348	0.009			0.009	35.714			35.714	27750	11067777	7.4	24.1
jhu/daily	10a21ed2490e	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-08	78	20	11				4	5	3	27	1		26	0.244	0.009		0.235		3.704		96.296	2			2	8			8.333	0.018			0.018	71.429			71.429	27750	11067777	7.4	24.1
jhu/daily	88f89d2b51ce	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-09	79	21	12				5	6	4	30	2		28	0.271	0.018		0.253		6.667		93.333	3	1		2	11.111	100		7.692	0.027	0.009		0.018	107.143	100		71.429	27750	11067777	7.4	24.1
jhu/daily	e4aa72893ffa	a2319f5ef01d	total-country	Haiti	HT	Haiti			19	-72.41666666	Americas	Caribbean	2020-04-10	80	22	13				6	7	5	31	2		29	0.28	0.018		0.262		6.452		93.548	1			1	3.333			3.571	0.009			0.009	35.714			35.714	27750	11067777	7.4	24.1
