dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	877c450782f9	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-02-28	38	1					-30	-30		1			1	0.02			0.02				100	1			1					0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	698b9713a843	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-04	43	6					-25	-25		3			3	0.061			0.061				100	2			2	200			200	0.041			0.041	2.398			2.89	268838	4925477	6.9	37.2
jhu/daily	431d4ae25a19	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-06	45	8					-23	-23		4			4	0.081			0.081				100	1			1	33.333			33.333	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	07e0ce695cc5	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-07	46	9					-22	-22		5			5	0.102			0.102				100	1			1	25			25	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	39e4ac2cb6c4	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-14	53	16					-15	-15		6			6	0.122			0.122				100	1			1	20			20	0.02			0.02	1.199			1.445	268838	4925477	6.9	37.2
jhu/daily	0780004e81c5	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-15	54	17					-14	-14		8			8	0.162			0.162				100	2			2	33.333			33.333	0.041			0.041	2.398			2.89	268838	4925477	6.9	37.2
jhu/daily	169ed088d5ca	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-17	56	19	1				-12	-12		12			12	0.244			0.244				100	4			4	50			50	0.081			0.081	4.796			5.78	268838	4925477	6.9	37.2
jhu/daily	209c1d8941dc	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-18	57	20	2				-11	-11		20			20	0.406			0.406				100	8			8	66.667			66.667	0.162			0.162	9.592			11.561	268838	4925477	6.9	37.2
jhu/daily	c40e056faef6	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-19	58	21	3				-10	-10		28			28	0.568			0.568				100	8			8	40			40	0.162			0.162	9.592			11.561	268838	4925477	6.9	37.2
jhu/daily	8a14d38c3613	f33865cccca2	total-country	New Zealand	NZ	New Zealand			-41	174	Oceania	Australia and New Zealand	2020-03-20	59	22	4				-9	-9		39			39	0.792			0.792				100	11			11	39.286			39.286	0.223			0.223	13.189			15.896	268838	4925477	6.9	37.2
