dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	6989006f33f5	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-06	45	1					-25	-26	-24	1			1	0.0036042544475328496			0.0036042544475328496				100	1			1					1.582278481012658			1.6286644951140066	475440	27744989	8.1	18.5
jhu/daily	34a230862238	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-08	47	3					-23	-24	-22	2			2	0.007208508895065699			0.007208508895065699				100	1			1	100			100	1.582278481012658			1.6286644951140066	475440	27744989	8.1	18.5
jhu/daily	62bcb4f41632	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-16	55	11					-15	-16	-14	4			4	0.014417017790131399			0.014417017790131399				100	2			2	100			100	3.164556962025316			3.257328990228013	475440	27744989	8.1	18.5
jhu/daily	8613fcba6959	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-17	56	12	1				-14	-15	-13	10			10	0.036042544475328495			0.036042544475328495				100	6			6	150			150	9.493670886075948			9.77198697068404	475440	27744989	8.1	18.5
jhu/daily	8f3cf3705063	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-19	58	14	3				-12	-13	-11	13			13	0.04685530781792705			0.04685530781792705				100	3			3	30			30	4.746835443037974			4.88599348534202	475440	27744989	8.1	18.5
jhu/daily	3c59291162f0	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-20	59	15	4				-11	-12	-10	20			20	0.07208508895065699			0.07208508895065699				100	7			7	53.84615384615385			53.84615384615385	11.075949367088606			11.400651465798047	475440	27744989	8.1	18.5
jhu/daily	150955d1d640	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-21	60	16	5				-10	-11	-9	27			27	0.09731487008338695			0.09731487008338695				100	7			7	35			35	11.075949367088606			11.400651465798047	475440	27744989	8.1	18.5
jhu/daily	3436d3dfbea1	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-22	61	17	6				-9	-10	-8	40		2	38	0.14417017790131398		0.007208508895065699	0.1369616690062483			5	95	13		2	11	48.148148148148145			40.74074074074074	20.569620253164555		47.05882352941176	17.91530944625407	475440	27744989	8.1	18.5
jhu/daily	d0385158d908	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-23	62	18	7				-8	-9	-7	56		2	54	0.20183824906183956		0.007208508895065699	0.1946297401667739			3.571428571428571	96.42857142857143	16			16	40			42.10526315789474	25.316455696202528			26.058631921824105	475440	27744989	8.1	18.5
jhu/daily	292a494296e0	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-24	63	19	8				-7	-8	-6	66		2	64	0.2378807935371681		0.007208508895065699	0.23067228464210238			3.0303030303030303	96.96969696969697	10			10	17.857142857142858			18.51851851851852	15.822784810126581			16.286644951140065	475440	27744989	8.1	18.5
jhu/daily	167936f79677	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-25	64	20	9				-6	-7	-5	75	1	2	72	0.27031908356496376	0.0036042544475328496	0.007208508895065699	0.2595063202223652		1.3333333333333335	2.666666666666667	96	9	1		8	13.636363636363637			12.5	14.240506329113922	100		13.029315960912053	475440	27744989	8.1	18.5
jhu/daily	53963ee964e7	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-27	66	22	11				-4	-5	-3	91	2	2	87	0.32798715472548934	0.007208508895065699	0.007208508895065699	0.3135701369353579		2.197802197802198	2.197802197802198	95.6043956043956	16	1		15	21.333333333333332	100		20.833333333333332	25.316455696202528	100		24.429967426710096	475440	27744989	8.1	18.5
jhu/daily	146c26428ffe	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-29	68	24	13	1			-2	-3	-1	139	6	5	128	0.5009913682070661	0.0216255266851971	0.018021272237664247	0.46134456928420475		4.316546762589928	3.597122302158273	92.08633093525181	48	4	3	41	52.747252747252745	200	150	47.12643678160919	75.94936708860759	400	70.58823529411765	66.77524429967427	475440	27744989	8.1	18.5
jhu/daily	f229c93930e9	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-03-31	70	26	15	3			0	-1	1	193	6	5	182	0.6956211083738401	0.0216255266851971	0.018021272237664247	0.6559743094509787		3.1088082901554404	2.5906735751295336	94.30051813471503	54			54	38.84892086330935			42.1875	85.44303797468355			87.94788273615636	475440	27744989	8.1	18.5
jhu/daily	74d5dd157e0f	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-04-01	71	27	16	4			1	0	2	233	6	10	217	0.8397912862751541	0.0216255266851971	0.036042544475328495	0.7821232151146283		2.575107296137339	4.291845493562231	93.13304721030042	40		5	35	20.72538860103627		100	19.23076923076923	63.291139240506325		117.64705882352942	57.00325732899023	475440	27744989	8.1	18.5
jhu/daily	9bab39f99ae9	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-04-02	72	28	17	5			2	1	3	306	7	10	289	1.102901860945052	0.025229781132729945	0.036042544475328495	1.0416295353369938		2.287581699346405	3.2679738562091507	94.44444444444444	73	1		72	31.330472103004293	16.666666666666668		33.17972350230415	115.50632911392404	100		117.26384364820848	475440	27744989	8.1	18.5
jhu/daily	9f6f5a310f1a	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-04-03	73	29	18	6			3	2	4	509	8	17	484	1.8345655137942205	0.028834035580262797	0.061272325608058446	1.7444591526058995		1.5717092337917484	3.3398821218074657	95.08840864440079	203	1	7	195	66.33986928104575	14.285714285714286	70	67.47404844290658	321.2025316455696	100	164.70588235294116	317.5895765472313	475440	27744989	8.1	18.5
jhu/daily	a6cec60116e8	deb6e64cfe52	total-country	Cameroon	CM	Cameroon			6	12	Africa	Middle Africa	2020-04-04	74	30	19	7			4	3	5	555	9	17	529	2.0003612183807316	0.03243829002779565	0.061272325608058446	1.9066506027448775		1.6216216216216217	3.063063063063063	95.31531531531532	46	1		45	9.037328094302554	12.5		9.297520661157025	72.78481012658227	100		73.28990228013029	475440	27744989	8.1	18.5
