dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	a853d64c55fe	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-07	68	1					-21	-20	-23	1			1	0.011616501193479333			0.011616501193479333				100	1			1					16.666666666666664			16.666666666666664	56785	8608444	6.5	20
ecdc/worldwide	788b75a006ed	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-21	82	15					-7	-6	-9	9			9	0.10454851074131401			0.10454851074131401				100	8			8	800			800	133.33333333333331			133.33333333333331	56785	8608444	6.5	20
ecdc/worldwide	4155f34b29b0	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-22	83	16	1				-6	-5	-8	15			15	0.17424751790219			0.17424751790219				100	6			6	66.66666666666667			66.66666666666667	100			100	56785	8608444	6.5	20
ecdc/worldwide	4f7c6f8fbc3e	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-24	85	18	3				-4	-3	-6	18			18	0.20909702148262801			0.20909702148262801				100	3			3	20			20	50			50	56785	8608444	6.5	20
ecdc/worldwide	0713a78f9ffd	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-26	87	20	5				-2	-1	-4	23			23	0.26717952745002466			0.26717952745002466				100	5			5	27.77777777777778			27.77777777777778	83.33333333333334			83.33333333333334	56785	8608444	6.5	20
ecdc/worldwide	ac00ec286467	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-27	88	21	6				-1	0	-3	24			24	0.278796028643504			0.278796028643504				100	1			1	4.3478260869565215			4.3478260869565215	16.666666666666664			16.666666666666664	56785	8608444	6.5	20
ecdc/worldwide	8ef14be1cc90	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-28	89	22	7				-0	1	-2	25	1		24	0.29041252983698335	0.011616501193479333		0.278796028643504		4		96	1	1			4.166666666666667				16.666666666666664	100			56785	8608444	6.5	20
ecdc/worldwide	1d642b838a3f	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-29	90	23	8				0	2	-1	28	1		27	0.3252620334174213	0.011616501193479333		0.313645532223942		3.571428571428571		96.42857142857143	3			3	12			12.5	50			50	56785	8608444	6.5	20
ecdc/worldwide	d04f389897f4	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-30	91	24	9				1	3	0	30	1		29	0.34849503580438	0.011616501193479333		0.33687853461090067		3.3333333333333335		96.66666666666667	2			2	7.142857142857143			7.407407407407407	33.33333333333333			33.33333333333333	56785	8608444	6.5	20
ecdc/worldwide	e6791e7d9c71	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-03-31	92	25	10				2	4	1	34	1		33	0.39496104057829734	0.011616501193479333		0.383344539384818		2.941176470588235		97.05882352941177	4			4	13.333333333333334			13.793103448275861	66.66666666666666			66.66666666666666	56785	8608444	6.5	20
ecdc/worldwide	1d53b2946e7f	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-04-02	94	27	12				4	6	3	36	2		34	0.41819404296525603	0.023233002386958666		0.39496104057829734		5.555555555555555		94.44444444444444	2	1		1	5.882352941176471	100		3.0303030303030303	33.33333333333333	100		16.666666666666664	56785	8608444	6.5	20
ecdc/worldwide	9f8452c846e6	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-04-03	95	28	13				5	7	4	39	2		37	0.45304354654569395	0.023233002386958666		0.4298105441587353		5.128205128205128		94.87179487179486	3			3	8.333333333333334			8.823529411764707	50			50	56785	8608444	6.5	20
ecdc/worldwide	df41cf142321	e8be8257a819	total-country	Togo	TG	Togo			8	1.16666666	Africa	Western Africa	2020-04-04	96	29	14				6	8	5	40	3		37	0.46466004773917335	0.034849503580438		0.4298105441587353		7.5		92.5	1	1			2.5641025641025643	50			16.666666666666664	100			56785	8608444	6.5	20
