dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	6f55189ff5c8	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-24	25	1					-70	-71	-69	3			3	0.048			0.048				100	3			3					0.048			0.048	2.392			2.396	719.2	6209660	3.6	35.6
ecdc/worldwide	5f5bc528878f	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-26	27	3					-68	-69	-67	4			4	0.064			0.064				100	1			1	33.333			33.333	0.016			0.016	0.797			0.799	719.2	6209660	3.6	35.6
ecdc/worldwide	34038769ec4e	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-28	29	5					-66	-67	-65	5			5	0.081			0.081				100	1			1	25			25	0.016			0.016	0.797			0.799	719.2	6209660	3.6	35.6
ecdc/worldwide	4420eb8475ce	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-29	30	6					-65	-66	-64	7			7	0.113			0.113				100	2			2	40			40	0.032			0.032	1.595			1.597	719.2	6209660	3.6	35.6
ecdc/worldwide	55c86f7bf851	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-30	31	7	1				-64	-65	-63	10			10	0.161			0.161				100	3			3	42.857			42.857	0.048			0.048	2.392			2.396	719.2	6209660	3.6	35.6
ecdc/worldwide	a5acaddbdd18	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-01-31	32	8	2				-63	-64	-62	13			13	0.209			0.209				100	3			3	30			30	0.048			0.048	2.392			2.396	719.2	6209660	3.6	35.6
ecdc/worldwide	ca49295a89ef	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-01	33	9	3				-62	-63	-61	16			16	0.258			0.258				100	3			3	23.077			23.077	0.048			0.048	2.392			2.396	719.2	6209660	3.6	35.6
ecdc/worldwide	0e778c334b54	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-02	34	10	4				-61	-62	-60	18			18	0.29			0.29				100	2			2	12.5			12.5	0.032			0.032	1.595			1.597	719.2	6209660	3.6	35.6
ecdc/worldwide	e299f566acbe	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-05	37	13	7				-58	-59	-57	24			24	0.386			0.386				100	6			6	33.333			33.333	0.097			0.097	4.785			4.792	719.2	6209660	3.6	35.6
ecdc/worldwide	57cd647a7570	6d47f4e7caae	total-country	Singapore	SG	Singapore			1.36666666	103.8	Asia	South-Eastern Asia	2020-02-06	38	14	8				-57	-58	-56	28			28	0.451			0.451				100	4			4	16.667			16.667	0.064			0.064	3.19			3.195	719.2	6209660	3.6	35.6
