dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	cb1b1da1c387	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-17	78	1					-20	-20		1			1	0.008			0.008				100	1			1					0.008			0.008	23.81			25	112622	12864634	8.4	17
ecdc/worldwide	a25259e4bb99	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-20	81	4					-17	-17		2			2	0.016			0.016				100	1			1	100			100	0.008			0.008	23.81			25	112622	12864634	8.4	17
ecdc/worldwide	b0686dc750a9	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-24	85	8					-13	-13		5			5	0.039			0.039				100	3			3	150			150	0.023			0.023	71.429			75	112622	12864634	8.4	17
ecdc/worldwide	f98865734d21	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-03-27	88	11					-10	-10		6			6	0.047			0.047				100	1			1	20			20	0.008			0.008	23.81			25	112622	12864634	8.4	17
ecdc/worldwide	d40dd64abe14	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-01	93	16					-5	-5		8			8	0.062			0.062				100	2			2	33.333			33.333	0.016			0.016	47.619			50	112622	12864634	8.4	17
ecdc/worldwide	52ad6a1441f1	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-02	94	17	1				-4	-4		13			13	0.101			0.101				100	5			5	62.5			62.5	0.039			0.039	119.048			125	112622	12864634	8.4	17
ecdc/worldwide	0d66d16dd71c	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-04	96	19	3				-2	-2		16			16	0.124			0.124				100	3			3	23.077			23.077	0.023			0.023	71.429			75	112622	12864634	8.4	17
ecdc/worldwide	3d2a97d95802	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-06	98	21	5				0	0		22			22	0.171			0.171				100	6			6	37.5			37.5	0.047			0.047	142.857			150	112622	12864634	8.4	17
ecdc/worldwide	6ed0eb895060	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-07	99	22	6				1	1		26	1		25	0.202	0.008		0.194		3.846		96.154	4	1		3	18.182			13.636	0.031	0.008		0.023	95.238			75	112622	12864634	8.4	17
ecdc/worldwide	5f0eb8e29517	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-10	102	25	9				4	4		30	1		29	0.233	0.008		0.225		3.333		96.667	4			4	15.385			16	0.031			0.031	95.238			100	112622	12864634	8.4	17
ecdc/worldwide	f4ca8d6a31bc	c2a0d86e1ee8	total-country	Benin	BJ	Benin			9.5	2.25	Africa	Western Africa	2020-04-11	103	26	10				5	5		35	1		34	0.272	0.008		0.264		2.857		97.143	5			5	16.667			17.241	0.039			0.039	119.048			125	112622	12864634	8.4	17
