dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	1c867e6a7653	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-18	79	1					-15	-12	-19	1			1	0.339			0.339				100	1			1					15.625			16.129	430	294560	8.8	39.5
ecdc/worldwide	3792b6cbd69d	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-20	81	3					-13	-10	-17	2			2	0.679			0.679				100	1			1	100			100	15.625			16.129	430	294560	8.8	39.5
ecdc/worldwide	6e599a890197	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-21	82	4					-12	-9	-16	6			6	2.037			2.037				100	4			4	200			200	62.5			64.516	430	294560	8.8	39.5
ecdc/worldwide	7999aafcfee0	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-22	83	5	1				-11	-8	-15	14			14	4.753			4.753				100	8			8	133.333			133.333	125			129.032	430	294560	8.8	39.5
ecdc/worldwide	87e30d079469	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-23	84	6	2				-10	-7	-14	17			17	5.771			5.771				100	3			3	21.429			21.429	46.875			48.387	430	294560	8.8	39.5
ecdc/worldwide	b751754e5eb8	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-25	86	8	4				-8	-5	-12	18			18	6.111			6.111				100	1			1	5.882			5.882	15.625			16.129	430	294560	8.8	39.5
ecdc/worldwide	13c8f8985181	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-27	88	10	6				-6	-3	-10	24			24	8.148			8.148				100	6			6	33.333			33.333	93.75			96.774	430	294560	8.8	39.5
ecdc/worldwide	15040a0581f6	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-29	90	12	8				-4	-1	-8	26			26	8.827			8.827				100	2			2	8.333			8.333	31.25			32.258	430	294560	8.8	39.5
ecdc/worldwide	dfbf7dc43eff	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-30	91	13	9				-3	0	-7	33			33	11.203			11.203				100	7			7	26.923			26.923	109.375			112.903	430	294560	8.8	39.5
ecdc/worldwide	c3ed8aa3e50d	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-03-31	92	14	10				-2	1	-6	34			34	11.543			11.543				100	1			1	3.03			3.03	15.625			16.129	430	294560	8.8	39.5
ecdc/worldwide	c93d4323117e	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-04-02	94	16	12				-0	3	-4	45			45	15.277			15.277				100	11			11	32.353			32.353	171.875			177.419	430	294560	8.8	39.5
ecdc/worldwide	82b7051c9393	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-04-05	97	19	15				2	6	-1	51			51	17.314			17.314				100	6			6	13.333			13.333	93.75			96.774	430	294560	8.8	39.5
ecdc/worldwide	dd4534cb7643	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-04-06	98	20	16				3	7	0	56	1		55	19.011	0.339		18.672		1.786		98.214	5	1		4	9.804			7.843	78.125	100		64.516	430	294560	8.8	39.5
ecdc/worldwide	4c374b3fa0be	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-04-07	99	21	17				4	8	1	60	2		58	20.369	0.679		19.69		3.333		96.667	4	1		3	7.143	100		5.455	62.5	100		48.387	430	294560	8.8	39.5
ecdc/worldwide	52a87589da13	c102e80d9bf3	total-country	Barbados	BB	Barbados			13.16666666	-59.53333333	Americas	Caribbean	2020-04-08	100	22	18				5	9	2	63	3		60	21.388	1.018		20.369		4.762		95.238	3	1		2	5	50		3.448	46.875	100		32.258	430	294560	8.8	39.5
