dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	64aaf54058ff	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-05	66	1					-35	-35	-35	2			2	0.02			0.02				100	2			2					0.02			0.02	2.193			2.463	93028	9771827	12.9	43.6
ecdc/worldwide	d66a2fcfaf05	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-07	68	3					-33	-33	-33	4			4	0.041			0.041				100	2			2	100			100	0.02			0.02	2.193			2.463	93028	9771827	12.9	43.6
ecdc/worldwide	950a25f53778	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-08	69	4					-32	-32	-32	7			7	0.072			0.072				100	3			3	75			75	0.031			0.031	3.289			3.695	93028	9771827	12.9	43.6
ecdc/worldwide	0e4211fb1de4	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-09	70	5					-31	-31	-31	8			8	0.082			0.082				100	1			1	14.286			14.286	0.01			0.01	1.096			1.232	93028	9771827	12.9	43.6
ecdc/worldwide	9665eaa3551d	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-10	71	6					-30	-30	-30	9			9	0.092			0.092				100	1			1	12.5			12.5	0.01			0.01	1.096			1.232	93028	9771827	12.9	43.6
ecdc/worldwide	043fb9dfd955	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-11	72	7	1				-29	-29	-29	12			12	0.123			0.123				100	3			3	33.333			33.333	0.031			0.031	3.289			3.695	93028	9771827	12.9	43.6
ecdc/worldwide	4aafeb271700	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-12	73	8	2				-28	-28	-28	13			13	0.133			0.133				100	1			1	8.333			8.333	0.01			0.01	1.096			1.232	93028	9771827	12.9	43.6
ecdc/worldwide	2ec9015ed6be	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-13	74	9	3				-27	-27	-27	16			16	0.164			0.164				100	3			3	23.077			23.077	0.031			0.031	3.289			3.695	93028	9771827	12.9	43.6
ecdc/worldwide	d4a7c50f043f	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-14	75	10	4				-26	-26	-26	25			25	0.256			0.256				100	9			9	56.25			56.25	0.092			0.092	9.868			11.084	93028	9771827	12.9	43.6
ecdc/worldwide	a77eb0be0e9f	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-15	76	11	5				-25	-25	-25	31			31	0.317			0.317				100	6			6	24			24	0.061			0.061	6.579			7.389	93028	9771827	12.9	43.6
ecdc/worldwide	5d7167cd75ce	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-16	77	12	6				-24	-24	-24	39	1		38	0.399	0.01		0.389		2.564		97.436	8	1		7	25.806			22.581	0.082	0.01		0.072	8.772	10.638		8.621	93028	9771827	12.9	43.6
ecdc/worldwide	963aad7de80c	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-17	78	13	7				-23	-23	-23	50	1		49	0.512	0.01		0.501		2		98	11			11	28.205			28.947	0.113			0.113	12.061			13.547	93028	9771827	12.9	43.6
ecdc/worldwide	a9fbcb5a748d	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-19	80	15	9				-21	-21	-21	73	1		72	0.747	0.01		0.737		1.37		98.63	23			23	46			46.939	0.235			0.235	25.219			28.325	93028	9771827	12.9	43.6
ecdc/worldwide	7eb1d58222f5	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-20	81	16	10				-20	-20	-20	85	1		84	0.87	0.01		0.86		1.176		98.824	12			12	16.438			16.667	0.123			0.123	13.158			14.778	93028	9771827	12.9	43.6
ecdc/worldwide	a1c18507eeaa	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-21	82	17	11	1			-19	-19	-19	103	4		99	1.054	0.041		1.013		3.883		96.117	18	3		15	21.176	300		17.857	0.184	0.031		0.154	19.737	31.915		18.473	93028	9771827	12.9	43.6
ecdc/worldwide	fbde4b4a5e66	2c7c21512acc	total-country	Hungary	HU	Hungary			47	20	Europe	Eastern Europe	2020-03-22	83	18	12	2			-18	-18	-18	131	4		127	1.341	0.041		1.3		3.053		96.947	28			28	27.184			28.283	0.287			0.287	30.702			34.483	93028	9771827	12.9	43.6
