dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	af59245dbaf5	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-12	73	1					-24	-24	-24	2			2	0.017			0.017				100	2			2					0.017			0.017	9.434			10	1098581	11639909	6.3	25.3
ecdc/worldwide	3982d44c8c3a	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-13	74	2					-23	-23	-23	3			3	0.026			0.026				100	1			1	50			50	0.009			0.009	4.717			5	1098581	11639909	6.3	25.3
ecdc/worldwide	0c551cbf9448	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-14	75	3	1				-22	-22	-22	10			10	0.086			0.086				100	7			7	233.333			233.333	0.06			0.06	33.019			35	1098581	11639909	6.3	25.3
ecdc/worldwide	13af768d6aad	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-17	78	6	4				-19	-19	-19	11			11	0.095			0.095				100	1			1	10			10	0.009			0.009	4.717			5	1098581	11639909	6.3	25.3
ecdc/worldwide	38a12ce9cab4	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-18	79	7	5				-18	-18	-18	12			12	0.103			0.103				100	1			1	9.091			9.091	0.009			0.009	4.717			5	1098581	11639909	6.3	25.3
ecdc/worldwide	ca76d5e53f31	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-20	81	9	7				-16	-16	-16	15			15	0.129			0.129				100	3			3	25			25	0.026			0.026	14.151			15	1098581	11639909	6.3	25.3
ecdc/worldwide	e362b3ae5739	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-21	82	10	8				-15	-15	-15	19			19	0.163			0.163				100	4			4	26.667			26.667	0.034			0.034	18.868			20	1098581	11639909	6.3	25.3
ecdc/worldwide	904df4dc90eb	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-22	83	11	9				-14	-14	-14	20			20	0.172			0.172				100	1			1	5.263			5.263	0.009			0.009	4.717			5	1098581	11639909	6.3	25.3
ecdc/worldwide	5c53d4f5d81f	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-23	84	12	10				-13	-13	-13	27			27	0.232			0.232				100	7			7	35			35	0.06			0.06	33.019			35	1098581	11639909	6.3	25.3
ecdc/worldwide	92b8d5117fc6	73e8b0a3a896	total-country	Bolivia	BO	Bolivia			-17	-65	Americas	South America	2020-03-24	85	13	11				-12	-12	-12	28			28	0.241			0.241				100	1			1	3.704			3.704	0.009			0.009	4.717			5	1098581	11639909	6.3	25.3
