dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	ca72cb7ee246	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-02-01	33	1					-63	-65	-62	2			2	0.001			0.001				100	2			2					0.001			0.001	0.212			0.213	17098242	141722205	13.4	40.3
ecdc/worldwide	76dbb858fe4f	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-03	64	32					-32	-34	-31	3			3	0.002			0.002				100	1			1	50			50	0.001			0.001	0.106			0.107	17098242	141722205	13.4	40.3
ecdc/worldwide	b85ba6940586	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-04	65	33					-31	-33	-30	4			4	0.003			0.003				100	1			1	33.333			33.333	0.001			0.001	0.106			0.107	17098242	141722205	13.4	40.3
ecdc/worldwide	3329eec73ce9	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-07	68	36	1				-28	-30	-27	10			10	0.007			0.007				100	6			6	150			150	0.004			0.004	0.637			0.64	17098242	141722205	13.4	40.3
ecdc/worldwide	f612c83fb862	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-12	73	41	6				-23	-25	-22	25			25	0.018			0.018				100	15			15	150			150	0.011			0.011	1.592			1.601	17098242	141722205	13.4	40.3
ecdc/worldwide	54a04d2ccef9	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-13	74	42	7				-22	-24	-21	30			30	0.021			0.021				100	5			5	20			20	0.004			0.004	0.531			0.534	17098242	141722205	13.4	40.3
ecdc/worldwide	85c280831a11	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-14	75	43	8				-21	-23	-20	45			45	0.032			0.032				100	15			15	50			50	0.011			0.011	1.592			1.601	17098242	141722205	13.4	40.3
ecdc/worldwide	cea09ad70045	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-15	76	44	9				-20	-22	-19	59			59	0.042			0.042				100	14			14	31.111			31.111	0.01			0.01	1.486			1.494	17098242	141722205	13.4	40.3
ecdc/worldwide	fc90eeedcbb6	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-16	77	45	10				-19	-21	-18	63			63	0.044			0.044				100	4			4	6.78			6.78	0.003			0.003	0.424			0.427	17098242	141722205	13.4	40.3
ecdc/worldwide	238ed87ed732	29908a604f61	total-country	Russia	RU	Russia			60	100	Europe	Eastern Europe	2020-03-17	78	46	11				-18	-20	-17	93			93	0.066			0.066				100	30			30	47.619			47.619	0.021			0.021	3.183			3.201	17098242	141722205	13.4	40.3
