dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	10ae42702e97	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-08	69	1					-5	-5		2			2	0.5103290601780027			0.5103290601780027				100	2			2					100			100	298	391904	4.1	29.5
ecdc/worldwide	4e5fd3b02f4c	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-09	70	2					-4	-4		4			4	1.0206581203560054			1.0206581203560054				100	2			2	100			100	100			100	298	391904	4.1	29.5
ecdc/worldwide	eb4f8fd503c9	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-11	72	4					-2	-2		6			6	1.5309871805340083			1.5309871805340083				100	2			2	50			50	100			100	298	391904	4.1	29.5
ecdc/worldwide	1ffea1a56fff	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-12	73	5					-1	-1		8			8	2.041316240712011			2.041316240712011				100	2			2	33.333333333333336			33.333333333333336	100			100	298	391904	4.1	29.5
ecdc/worldwide	7d0e67ac6b56	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-14	75	7					1	1		9			9	2.2964807708010126			2.2964807708010126				100	1			1	12.5			12.5	50			50	298	391904	4.1	29.5
ecdc/worldwide	a2689e1b5ef6	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-16	77	9	1				3	3		13			13	3.3171388911570183			3.3171388911570183				100	4			4	44.44444444444444			44.44444444444444	200			200	298	391904	4.1	29.5
ecdc/worldwide	1236f5aa7714	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-28	89	21	13				15	15		14			14	3.5723034212460196			3.5723034212460196				100	1			1	7.6923076923076925			7.6923076923076925	50			50	298	391904	4.1	29.5
ecdc/worldwide	dd966f6f25f5	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-29	90	22	14				16	16		16			16	4.082632481424022			4.082632481424022				100	2			2	14.285714285714286			14.285714285714286	100			100	298	391904	4.1	29.5
ecdc/worldwide	ce07d547973f	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-30	91	23	15				17	17		17			17	4.3377970115130235			4.3377970115130235				100	1			1	6.25			6.25	50			50	298	391904	4.1	29.5
ecdc/worldwide	4b82f2fe7a14	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-04-01	93	25	17				19	19		18			18	4.592961541602025			4.592961541602025				100	1			1	5.882352941176471			5.882352941176471	50			50	298	391904	4.1	29.5
ecdc/worldwide	96c95306b1ea	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-04-02	94	26	18				20	20		19			19	4.848126071691026			4.848126071691026				100	1			1	5.555555555555555			5.555555555555555	50			50	298	391904	4.1	29.5
