dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	36831505bc1d	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-14	75	1					-26	-26		1			1	0.008			0.008				100	1			1					0.008			0.008	3.906			3.906	245857	12527440	8.4	19.1
ecdc/worldwide	3185a6af6770	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-21	82	8					-19	-19		2			2	0.016			0.016				100	1			1	100			100	0.008			0.008	3.906			3.906	245857	12527440	8.4	19.1
ecdc/worldwide	66da7c857776	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-25	86	12					-15	-15		4			4	0.032			0.032				100	2			2	100			100	0.016			0.016	7.813			7.813	245857	12527440	8.4	19.1
ecdc/worldwide	8b1f324296fb	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-27	88	14					-13	-13		5			5	0.04			0.04				100	1			1	25			25	0.008			0.008	3.906			3.906	245857	12527440	8.4	19.1
ecdc/worldwide	41d98aab6ac3	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-29	90	16					-11	-11		8			8	0.064			0.064				100	3			3	60			60	0.024			0.024	11.719			11.719	245857	12527440	8.4	19.1
ecdc/worldwide	047fde1db508	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-31	92	18	1				-9	-9		16			16	0.128			0.128				100	8			8	100			100	0.064			0.064	31.25			31.25	245857	12527440	8.4	19.1
ecdc/worldwide	7f706e80e48d	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-02	94	20	3				-7	-7		30			30	0.239			0.239				100	14			14	87.5			87.5	0.112			0.112	54.688			54.688	245857	12527440	8.4	19.1
ecdc/worldwide	0b29d1ff55dc	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-03	95	21	4				-6	-6		52			52	0.415			0.415				100	22			22	73.333			73.333	0.176			0.176	85.938			85.938	245857	12527440	8.4	19.1
ecdc/worldwide	2d2495271354	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-05	97	23	6	1			-4	-4		111			111	0.886			0.886				100	59			59	113.462			113.462	0.471			0.471	230.469			230.469	245857	12527440	8.4	19.1
ecdc/worldwide	4ba38156225d	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-06	98	24	7	2			-3	-3		121			121	0.966			0.966				100	10			10	9.009			9.009	0.08			0.08	39.063			39.063	245857	12527440	8.4	19.1
ecdc/worldwide	b228df921dfe	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-07	99	25	8	3			-2	-2		128			128	1.022			1.022				100	7			7	5.785			5.785	0.056			0.056	27.344			27.344	245857	12527440	8.4	19.1
ecdc/worldwide	c590e1a6137a	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-08	100	26	9	4			-1	-1		144			144	1.149			1.149				100	16			16	12.5			12.5	0.128			0.128	62.5			62.5	245857	12527440	8.4	19.1
ecdc/worldwide	c00ff3ace36c	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-09	101	27	10	5			0	0		164			164	1.309			1.309				100	20			20	13.889			13.889	0.16			0.16	78.125			78.125	245857	12527440	8.4	19.1
ecdc/worldwide	00eb27c4eab8	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-10	102	28	11	6			1	1		194			194	1.549			1.549				100	30			30	18.293			18.293	0.239			0.239	117.188			117.188	245857	12527440	8.4	19.1
ecdc/worldwide	a1df0a33466f	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-11	103	29	12	7			2	2		212			212	1.692			1.692				100	18			18	9.278			9.278	0.144			0.144	70.313			70.313	245857	12527440	8.4	19.1
ecdc/worldwide	4a683698328a	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-12	104	30	13	8			3	3		250			250	1.996			1.996				100	38			38	17.925			17.925	0.303			0.303	148.438			148.438	245857	12527440	8.4	19.1
