dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	5957154ac214	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-12	73	1					-21	-22	-21	1			1	0.004			0.004				100	1			1					0.004			0.004	2.392			2.404	322463	27481086	7.9	20.3
ecdc/worldwide	57370c8d3000	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-15	76	4					-18	-19	-18	4			4	0.015			0.015				100	3			3	300			300	0.011			0.011	7.177			7.212	322463	27481086	7.9	20.3
ecdc/worldwide	ebbc18f18ba3	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-17	78	6					-16	-17	-16	5			5	0.018			0.018				100	1			1	25			25	0.004			0.004	2.392			2.404	322463	27481086	7.9	20.3
ecdc/worldwide	6385e4f47e41	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-19	80	8					-14	-15	-14	6			6	0.022			0.022				100	1			1	20			20	0.004			0.004	2.392			2.404	322463	27481086	7.9	20.3
ecdc/worldwide	3950c420d3cb	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-20	81	9					-13	-14	-13	9			9	0.033			0.033				100	3			3	50			50	0.011			0.011	7.177			7.212	322463	27481086	7.9	20.3
ecdc/worldwide	a07a6b580c3a	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-21	82	10	1				-12	-13	-12	14			14	0.051			0.051				100	5			5	55.556			55.556	0.018			0.018	11.962			12.019	322463	27481086	7.9	20.3
ecdc/worldwide	939bdadddfb2	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-22	83	11	2				-11	-12	-11	17			17	0.062			0.062				100	3			3	21.429			21.429	0.011			0.011	7.177			7.212	322463	27481086	7.9	20.3
ecdc/worldwide	f8abaaf36957	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-23	84	12	3				-10	-11	-10	25			25	0.091			0.091				100	8			8	47.059			47.059	0.029			0.029	19.139			19.231	322463	27481086	7.9	20.3
ecdc/worldwide	92032630ec5f	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-25	86	14	5				-8	-9	-8	73			73	0.266			0.266				100	48			48	192			192	0.175			0.175	114.833			115.385	322463	27481086	7.9	20.3
ecdc/worldwide	f65a17e01439	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-26	87	15	6				-7	-8	-7	80			80	0.291			0.291				100	7			7	9.589			9.589	0.025			0.025	16.746			16.827	322463	27481086	7.9	20.3
ecdc/worldwide	fad60ccbcd43	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-27	88	16	7				-6	-7	-6	96			96	0.349			0.349				100	16			16	20			20	0.058			0.058	38.278			38.462	322463	27481086	7.9	20.3
ecdc/worldwide	3bac4669c66c	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-28	89	17	8	1			-5	-6	-5	101			101	0.368			0.368				100	5			5	5.208			5.208	0.018			0.018	11.962			12.019	322463	27481086	7.9	20.3
ecdc/worldwide	5d880500ec7e	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-29	90	18	9	2			-4	-5	-4	140			140	0.509			0.509				100	39			39	38.614			38.614	0.142			0.142	93.301			93.75	322463	27481086	7.9	20.3
ecdc/worldwide	2173fc5432b1	2b238fe0ad01	total-country	Ivory Coast	CI	Ivory Coast			8	-5	Africa	Western Africa	2020-03-30	91	19	10	3			-3	-4	-3	165	1		164	0.6	0.004		0.597		0.606		99.394	25	1		24	17.857			17.143	0.091	0.004		0.087	59.809	100		57.692	322463	27481086	7.9	20.3
