dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	297027d528f6	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-21	82	1					-13	-15	-11	1			1	0.004			0.004				100	1			1					0.004			0.004	2.165			2.242	1267000	22772361	10.2	14.8
ecdc/worldwide	eea0dd62c674	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-24	85	4					-10	-12	-8	2			2	0.009			0.009				100	1			1	100			100	0.004			0.004	2.165			2.242	1267000	22772361	10.2	14.8
ecdc/worldwide	696a68c53bc1	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-25	86	5					-9	-11	-7	7	1		6	0.031	0.004		0.026		14.286		85.714	5	1		4	250			200	0.022	0.004		0.018	10.823	66.667		8.969	1267000	22772361	10.2	14.8
ecdc/worldwide	469f01eeccd1	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-27	88	7	1				-7	-9	-5	10	1		9	0.044	0.004		0.04		10		90	3			3	42.857			50	0.013			0.013	6.494			6.726	1267000	22772361	10.2	14.8
ecdc/worldwide	f3b683690c69	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-03-31	92	11	5				-3	-5	-1	20	3		17	0.088	0.013		0.075		15		85	10	2		8	100	200		88.889	0.044	0.009		0.035	21.645	133.333		17.937	1267000	22772361	10.2	14.8
ecdc/worldwide	aff2c60c3ecf	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-02	94	13	7				-1	-3	1	74	5		69	0.325	0.022		0.303		6.757		93.243	54	2		52	270	66.667		305.882	0.237	0.009		0.228	116.883	133.333		116.592	1267000	22772361	10.2	14.8
ecdc/worldwide	40e6c8571a11	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-04	96	15	9				1	-1	3	98	5		93	0.43	0.022		0.408		5.102		94.898	24			24	32.432			34.783	0.105			0.105	51.948			53.812	1267000	22772361	10.2	14.8
ecdc/worldwide	e025ad2dd05d	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-05	97	16	10	1			2	0	4	120	5		115	0.527	0.022		0.505		4.167		95.833	22			22	22.449			23.656	0.097			0.097	47.619			49.327	1267000	22772361	10.2	14.8
ecdc/worldwide	001d508cd5a4	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-06	98	17	11	2			3	1	5	184	10		174	0.808	0.044		0.764		5.435		94.565	64	5		59	53.333	100		51.304	0.281	0.022		0.259	138.528	333.333		132.287	1267000	22772361	10.2	14.8
ecdc/worldwide	db4cad3eb2e2	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-07	99	18	12	3			4	2	6	253	10		243	1.111	0.044		1.067		3.953		96.047	69			69	37.5			39.655	0.303			0.303	149.351			154.709	1267000	22772361	10.2	14.8
ecdc/worldwide	166de1f51cee	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-08	100	19	13	4			5	3	7	278	11		267	1.221	0.048		1.172		3.957		96.043	25	1		24	9.881	10		9.877	0.11	0.004		0.105	54.113	66.667		53.812	1267000	22772361	10.2	14.8
ecdc/worldwide	41e98e94b64e	6841e814f70c	total-country	Niger	NE	Niger			16	8	Africa	Western Africa	2020-04-09	101	20	14	5			6	4	8	342	11		331	1.502	0.048		1.454		3.216		96.784	64			64	23.022			23.97	0.281			0.281	138.528			143.498	1267000	22772361	10.2	14.8
