dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	71bd635b0636	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-25	57	1					-41	-44	-38	2			2	0.043			0.043				100	2			2					0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	b79af9907710	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-26	58	2					-40	-43	-37	4			4	0.086			0.086				100	2			2	100			100	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	d87d04ea4ca4	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-28	60	4					-38	-41	-35	6			6	0.129			0.129				100	2			2	50			50	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	7af691c3c6d8	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-03	64	8					-34	-37	-31	7			7	0.15			0.15				100	1			1	16.667			16.667	0.021			0.021	2.262			2.283	309500	4664844	3.3	26.2
ecdc/worldwide	c1c58926443a	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-05	66	10	1				-32	-35	-29	15			15	0.322			0.322				100	8			8	114.286			114.286	0.171			0.171	18.1			18.265	309500	4664844	3.3	26.2
ecdc/worldwide	4f4679be9746	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-06	67	11	2				-31	-34	-28	16			16	0.343			0.343				100	1			1	6.667			6.667	0.021			0.021	2.262			2.283	309500	4664844	3.3	26.2
ecdc/worldwide	3bee5b41bc5c	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-10	71	15	6				-27	-30	-24	18			18	0.386			0.386				100	2			2	12.5			12.5	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	c8d6408bd780	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-14	75	19	10				-23	-26	-20	20			20	0.429			0.429				100	2			2	11.111			11.111	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	f15a6030a688	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-16	77	21	12				-21	-24	-18	22			22	0.472			0.472				100	2			2	10			10	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
ecdc/worldwide	55bee934a299	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-17	78	22	13				-20	-23	-17	24			24	0.514			0.514				100	2			2	9.091			9.091	0.043			0.043	4.525			4.566	309500	4664844	3.3	26.2
