dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	93c991655064	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-01	62	1					-32	-32	-32	1			1	0.041			0.041				100	1			1					0.445			0.446	11586	2444174	1.6	33.7
ecdc/worldwide	ed00b492336f	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-02	63	2					-31	-31	-31	3			3	0.123			0.123				100	2			2	200			200	0.89			0.893	11586	2444174	1.6	33.7
ecdc/worldwide	681999e780b3	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-04	65	4					-29	-29	-29	8			8	0.327			0.327				100	5			5	166.667			166.667	2.226			2.232	11586	2444174	1.6	33.7
ecdc/worldwide	51d61c032d91	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-07	68	7	1				-26	-26	-26	11			11	0.45			0.45				100	3			3	37.5			37.5	1.336			1.339	11586	2444174	1.6	33.7
ecdc/worldwide	0ea493726e5b	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-08	69	8	2				-25	-25	-25	12			12	0.491			0.491				100	1			1	9.091			9.091	0.445			0.446	11586	2444174	1.6	33.7
ecdc/worldwide	6bae2fb713f2	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-09	70	9	3				-24	-24	-24	15			15	0.614			0.614				100	3			3	25			25	1.336			1.339	11586	2444174	1.6	33.7
ecdc/worldwide	17a2f4ea133f	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-10	71	10	4				-23	-23	-23	18			18	0.736			0.736				100	3			3	20			20	1.336			1.339	11586	2444174	1.6	33.7
ecdc/worldwide	1d201419a161	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-11	72	11	5				-22	-22	-22	24			24	0.982			0.982				100	6			6	33.333			33.333	2.671			2.679	11586	2444174	1.6	33.7
ecdc/worldwide	f9d11d7c0cbb	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-12	73	12	6	1			-21	-21	-21	262			262	10.719			10.719				100	238			238	991.667			991.667	105.966			106.25	11586	2444174	1.6	33.7
ecdc/worldwide	01c7cb9ff7a2	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-14	75	14	8	3			-19	-19	-19	320			320	13.092			13.092				100	58			58	22.137			22.137	25.824			25.893	11586	2444174	1.6	33.7
