dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	3b4e579723c0	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-01-31	32	1					-68	-68	-68	2			2	0.003			0.003				100	2			2					0.003			0.003	0.039			0.046	243610	65761117	9.5	40.6
ecdc/worldwide	be0e6b10ebf7	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-07	39	8					-61	-61	-61	3			3	0.005			0.005				100	1			1	50			50	0.002			0.002	0.02			0.023	243610	65761117	9.5	40.6
ecdc/worldwide	0d90539af7b6	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-09	41	10					-59	-59	-59	4			4	0.006			0.006				100	1			1	33.333			33.333	0.002			0.002	0.02			0.023	243610	65761117	9.5	40.6
ecdc/worldwide	677d8f7110de	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-11	43	12					-57	-57	-57	8			8	0.012			0.012				100	4			4	100			100	0.006			0.006	0.079			0.092	243610	65761117	9.5	40.6
ecdc/worldwide	8d5b3ed2ab4f	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-13	45	14					-55	-55	-55	9			9	0.014			0.014				100	1			1	12.5			12.5	0.002			0.002	0.02			0.023	243610	65761117	9.5	40.6
ecdc/worldwide	e99fbafe1531	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-24	56	25	1				-44	-44	-44	13			13	0.02			0.02				100	4			4	44.444			44.444	0.006			0.006	0.079			0.092	243610	65761117	9.5	40.6
ecdc/worldwide	ecb28196a6c0	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-28	60	29	5				-40	-40	-40	16			16	0.024			0.024				100	3			3	23.077			23.077	0.005			0.005	0.059			0.069	243610	65761117	9.5	40.6
ecdc/worldwide	1f2bf1cf24fa	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-02-29	61	30	6				-39	-39	-39	18			18	0.027			0.027				100	2			2	12.5			12.5	0.003			0.003	0.039			0.046	243610	65761117	9.5	40.6
ecdc/worldwide	2bcdff000606	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-01	62	31	7				-38	-38	-38	23			23	0.035			0.035				100	5			5	27.778			27.778	0.008			0.008	0.098			0.115	243610	65761117	9.5	40.6
ecdc/worldwide	0e032e484789	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-02	63	32	8				-37	-37	-37	36			36	0.055			0.055				100	13			13	56.522			56.522	0.02			0.02	0.256			0.3	243610	65761117	9.5	40.6
ecdc/worldwide	4b88547549b3	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-03	64	33	9				-36	-36	-36	40			40	0.061			0.061				100	4			4	11.111			11.111	0.006			0.006	0.079			0.092	243610	65761117	9.5	40.6
ecdc/worldwide	2de383541101	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-04	65	34	10				-35	-35	-35	51			51	0.078			0.078				100	11			11	27.5			27.5	0.017			0.017	0.217			0.254	243610	65761117	9.5	40.6
ecdc/worldwide	2b81521bb973	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-05	66	35	11				-34	-34	-34	85			85	0.129			0.129				100	34			34	66.667			66.667	0.052			0.052	0.67			0.784	243610	65761117	9.5	40.6
ecdc/worldwide	f7aff389e6bc	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-06	67	36	12	1			-33	-33	-33	115	1		114	0.175	0.002		0.173		0.87		99.13	30	1		29	35.294			34.118	0.046	0.002		0.044	0.591	0.117		0.669	243610	65761117	9.5	40.6
ecdc/worldwide	3b8935321c94	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-07	68	37	13	2			-32	-32	-32	163	1		162	0.248	0.002		0.246		0.613		99.387	48			48	41.739			42.105	0.073			0.073	0.946			1.107	243610	65761117	9.5	40.6
ecdc/worldwide	2e9125439fe9	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-08	69	38	14	3			-31	-31	-31	206	2		204	0.313	0.003		0.31		0.971		99.029	43	1		42	26.38	100		25.926	0.065	0.002		0.064	0.847	0.117		0.969	243610	65761117	9.5	40.6
ecdc/worldwide	0328fe0f49d7	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-09	70	39	15	4			-30	-30	-30	273	3		270	0.415	0.005		0.411		1.099		98.901	67	1		66	32.524	50		32.353	0.102	0.002		0.1	1.32	0.117		1.523	243610	65761117	9.5	40.6
ecdc/worldwide	137d6f60da70	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-10	71	40	16	5			-29	-29	-29	321	5		316	0.488	0.008		0.481		1.558		98.442	48	2		46	17.582	66.667		17.037	0.073	0.003		0.07	0.946	0.234		1.061	243610	65761117	9.5	40.6
ecdc/worldwide	ac1301207209	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-11	72	41	17	6			-28	-28	-28	373	6		367	0.567	0.009		0.558		1.609		98.391	52	1		51	16.199	20		16.139	0.079	0.002		0.078	1.024	0.117		1.177	243610	65761117	9.5	40.6
ecdc/worldwide	453d64e6e441	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-12	73	42	18	7			-27	-27	-27	456	6		450	0.693	0.009		0.684		1.316		98.684	83			83	22.252			22.616	0.126			0.126	1.635			1.915	243610	65761117	9.5	40.6
ecdc/worldwide	07b5c8303a2f	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-13	74	43	19	8			-26	-26	-26	590	10		580	0.897	0.015		0.882		1.695		98.305	134	4		130	29.386	66.667		28.889	0.204	0.006		0.198	2.64	0.469		2.999	243610	65761117	9.5	40.6
ecdc/worldwide	b26e9fc9198b	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-14	75	44	20	9			-25	-25	-25	707	10		697	1.075	0.015		1.06		1.414		98.586	117			117	19.831			20.172	0.178			0.178	2.305			2.699	243610	65761117	9.5	40.6
ecdc/worldwide	26c15af9670e	20438d37e1cb	total-country	United Kingdom	GB	United Kingdom			54	-2	Europe	Northern Europe	2020-03-15	76	45	21	10	1		-24	-24	-24	1140	21		1119	1.734	0.032		1.702		1.842		98.158	433	11		422	61.245	110		60.545	0.658	0.017		0.642	8.529	1.29		9.737	243610	65761117	9.5	40.6
