dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	300cf0826f31	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-02-26	58	1					-38	-38	-39	1			1	0.00232704916808225			0.00232704916808225				100	1			1					0.7012622720897617			0.7923930269413629	2381740	42972878	4.4	28.9
ecdc/worldwide	1ca72c0e22b9	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-02	63	6					-33	-33	-34	3			3	0.0069811475042467494			0.0069811475042467494				100	2			2	200			200	1.4025245441795233			1.5847860538827259	2381740	42972878	4.4	28.9
ecdc/worldwide	165f450ee492	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-04	65	8					-31	-31	-32	5			5	0.011635245840411248			0.011635245840411248				100	2			2	66.66666666666667			66.66666666666667	1.4025245441795233			1.5847860538827259	2381740	42972878	4.4	28.9
ecdc/worldwide	6f26d034af65	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-05	66	9	1				-30	-30	-31	12			12	0.027924590016986998			0.027924590016986998				100	7			7	140			140	4.908835904628331			5.54675118858954	2381740	42972878	4.4	28.9
ecdc/worldwide	2856f6d6757c	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-06	67	10	2				-29	-29	-30	17			17	0.039559835857398244			0.039559835857398244				100	5			5	41.666666666666664			41.666666666666664	3.506311360448808			3.9619651347068143	2381740	42972878	4.4	28.9
ecdc/worldwide	1bdf4f961d5a	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-09	70	13	5				-26	-26	-27	20			20	0.04654098336164499			0.04654098336164499				100	3			3	17.647058823529413			17.647058823529413	2.1037868162692845			2.3771790808240887	2381740	42972878	4.4	28.9
ecdc/worldwide	9b6cdd4beff9	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-13	74	17	9				-22	-22	-23	24	1		23	0.055849180033973995	0.00232704916808225		0.05352213086589174		4.166666666666666		95.83333333333334	4	1		3	20			15	2.8050490883590466	4.464285714285714		2.3771790808240887	2381740	42972878	4.4	28.9
ecdc/worldwide	75d8ff1fc5e7	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-14	75	18	10				-21	-21	-22	26	2		24	0.06050327837013848	0.0046540983361645		0.055849180033973995		7.6923076923076925		92.3076923076923	2	1		1	8.333333333333334	100		4.3478260869565215	1.4025245441795233	4.464285714285714		0.7923930269413629	2381740	42972878	4.4	28.9
ecdc/worldwide	f8313e0adc2d	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-15	76	19	11				-20	-20	-21	37	2		35	0.08610081921904324	0.0046540983361645		0.08144672088287874		5.405405405405405		94.5945945945946	11			11	42.30769230769231			45.833333333333336	7.713884992987377			8.716323296354991	2381740	42972878	4.4	28.9
ecdc/worldwide	441390c157cd	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-16	77	20	12				-19	-19	-20	48	4		44	0.11169836006794799	0.009308196672329		0.10239016339561899		8.333333333333332		91.66666666666666	11	2		9	29.72972972972973	100		25.714285714285715	7.713884992987377	8.928571428571429		7.131537242472266	2381740	42972878	4.4	28.9
